after,alias,before,endpoint,estimate,family,painter_id,status,support
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.015548191400329925,spatial,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.16969681178722307,spatial,camille_pissarro,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.47056422705637924,texture,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.04403019179032697,texture,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.34727885693068505,texture,camille_pissarro,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.2073851945207157,color,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,-0.1077100451007118,color,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.04740197844270222,color,paul_cezanne,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.14166090478721327,spatial,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,-0.011532285608235826,spatial,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.020303524804683004,spatial,paul_cezanne,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.2672287674483984,texture,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,-0.08739364104502378,texture,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,-0.03548709385129323,texture,paul_cezanne,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.3853526625228689,color,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.03460533726733894,color,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.3948750786118689,color,claude_monet,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.20174384808396484,spatial,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.059233293205237736,spatial,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.13838615681850275,spatial,claude_monet,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.4481647009937255,texture,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.12658011432122773,texture,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.18989614693667045,texture,claude_monet,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.12577330840414014,color,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.10798672039823853,color,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.04752718499136144,color,alfred_sisley,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.11558043710715404,spatial,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,0.019920152633190913,spatial,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.1201521445208118,spatial,alfred_sisley,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.46504553050207487,texture,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.024386061343328214,texture,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.15075777697565274,texture,alfred_sisley,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.06901698668042355,color,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.22245059624706376,color,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,-0.11872338634933177,color,camille_pissarro,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.17009967804044335,spatial,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,0.062112495343076946,spatial,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.12927896302415065,spatial,camille_pissarro,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.589501555517232,texture,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.047302695322877675,texture,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.39294785194352233,texture,camille_pissarro,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.05212399592608841,color,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.05971846611098086,color,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,-0.04185327550910434,color,paul_cezanne,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.14617122107021752,spatial,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,0.07962879437755932,spatial,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,0.05449227891433095,spatial,paul_cezanne,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-2,by_name,control_adjusted_transition,0.32956312823792766,texture,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,style_instruction,control_adjusted_transition,-0.2552024733557632,texture,paul_cezanne,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-2,by_name,overall_transition,-0.18239935914350003,texture,paul_cezanne,descriptive_all_available,all_available_equal_template
