after,after_distance,alias,before,before_distance,both_measured_pairs,estimate,exceedances,family,holm_input,holm_p,method,missing_templates,null,painter_id,pairs,permutations,raw_p,reject_holm,seed,status,tie_tolerance,zero_contributions
style_instruction,1.0235893715638826,gpt-image-2,by_name,0.8220854827202841,64,0.2015038888435986,1056,spatial,0.01057,0.42279999999999995,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.01057,False,18277672292301600529,conditional_joint_randomization,3.4056717950221595e-15,False
style_aspects,0.9604716395387869,gpt-image-2,style_instruction,1.0235893715638826,64,-0.06311773202509532,43408,spatial,0.43409,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.43409,False,1261344119536716161,conditional_joint_randomization,3.576559236856098e-15,False
style_instruction,1.8576340639759588,gpt-image-2,by_name,1.64191540372201,64,0.2157186602539491,2808,texture,0.02809,0.98315,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.02809,False,14523561725840195539,conditional_joint_randomization,4.446344596082742e-15,False
style_aspects,1.8318115506586805,gpt-image-2,style_instruction,1.8576340639759588,64,-0.02582251331727764,76346,texture,0.76347,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.76347,False,7240942501285822621,conditional_joint_randomization,3.868796042903482e-15,False
style_instruction,0.7951407647818971,gpt-image-2,by_name,0.7529104736001548,64,0.042230291181741965,49022,color,0.49023,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.49023,False,6571861066594873171,conditional_joint_randomization,2.7152511573948357e-15,False
style_aspects,0.8004376585915163,gpt-image-2,style_instruction,0.7951407647818971,64,0.005296893809620125,92370,color,0.92371,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.92371,False,2319042065742462515,conditional_joint_randomization,2.562971616127573e-15,False
style_instruction,0.666875113973528,gpt-image-2,by_name,0.5664964262778693,64,0.10037868769565836,1831,spatial,0.01832,0.69616,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.01832,False,6093253902063793426,conditional_joint_randomization,2.0358785017950405e-15,False
style_aspects,0.6866485707986811,gpt-image-2,style_instruction,0.666875113973528,64,0.019773456825152996,69687,spatial,0.69688,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.69688,False,5344774900296824849,conditional_joint_randomization,2.2872329491824594e-15,False
style_instruction,1.4363120458929048,gpt-image-2,by_name,1.3201149763709745,64,0.11619706952192983,13454,texture,0.13455,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.13455,False,3527280921975659575,conditional_joint_randomization,3.37120905258241e-15,False
style_aspects,1.4708727533466273,gpt-image-2,style_instruction,1.4363120458929048,64,0.03456070745372304,62526,texture,0.62527,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.62527,False,6894343674903748240,conditional_joint_randomization,3.176422261176396e-15,False
style_instruction,1.0404016282447142,gpt-image-2,by_name,1.009620987710993,64,0.030780640533722772,67056,color,0.67057,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.67057,False,7547658849170089466,conditional_joint_randomization,3.248608589856943e-15,False
style_aspects,0.8908976013616612,gpt-image-2,style_instruction,1.0404016282447142,64,-0.1495040268830536,527,color,0.00528,0.22176,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.00528,False,9400125548854772194,conditional_joint_randomization,2.3130388429104802e-15,False
style_instruction,0.8961626952765207,gpt-image-2,by_name,0.7653347704961937,64,0.13082792478032734,4184,spatial,0.04185,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.04185,False,10576200055364222831,conditional_joint_randomization,2.662591504153433e-15,False
style_aspects,0.8946137335203443,gpt-image-2,style_instruction,0.8961626952765207,64,-0.0015489617561752211,97962,spatial,0.97963,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.97963,False,10695888919283848686,conditional_joint_randomization,2.6155510757919046e-15,False
style_instruction,1.6312055876515048,gpt-image-2,by_name,1.337881042027715,64,0.2933245456237904,57,texture,0.00058,0.02668,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.00058,True,6144478298886083941,conditional_joint_randomization,3.640011992222133e-15,False
style_aspects,1.7308288939712373,gpt-image-2,style_instruction,1.6312055876515048,64,0.09962330631973118,15602,texture,0.15603,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.15603,False,18228168472549074375,conditional_joint_randomization,3.016853009527259e-15,False
style_instruction,0.831955477264374,gpt-image-2,by_name,0.8232198333655629,64,0.008735643898809708,89516,color,0.89517,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.89517,False,16933864483615702289,conditional_joint_randomization,3.0341072477603655e-15,False
style_aspects,0.7813665578564586,gpt-image-2,style_instruction,0.831955477264374,64,-0.0505889194079142,45584,color,0.45585,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.45585,False,14930675404736954103,conditional_joint_randomization,3.1246223950406234e-15,False
style_instruction,0.7390550771242759,gpt-image-2,by_name,0.634113503073451,64,0.10494157405082445,18877,spatial,0.18878,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.18878,False,12695585073626531825,conditional_joint_randomization,3.727549447837728e-15,False
style_aspects,0.688605781987782,gpt-image-2,style_instruction,0.7390550771242759,64,-0.050449295136494196,40322,spatial,0.40323,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.40323,False,9645518529146829152,conditional_joint_randomization,2.8741243248373805e-15,False
style_instruction,2.228932903068214,gpt-image-2,by_name,2.119113419741494,64,0.1098194833267195,46625,texture,0.46626,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.46626,False,80349513730925117,conditional_joint_randomization,6.529387132845743e-15,False
style_aspects,1.936714060597994,gpt-image-2,style_instruction,2.228932903068214,64,-0.2922188424702217,1191,texture,0.01192,0.46488,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.01192,False,8556801859583985576,conditional_joint_randomization,5.128747493201295e-15,False
