alias,family,finite_distance,generated_count,method_id,missing_templates,painter_id,status
gpt-image-2,spatial,0.7390550771242759,64,style_instruction,[],paul_cezanne,descriptive_all_available
gpt-image-2,texture,2.228932903068214,64,style_instruction,[],paul_cezanne,descriptive_all_available
gpt-image-2,color,0.8952636009061472,64,style_aspects,[],claude_monet,descriptive_all_available
gpt-image-2,spatial,0.9604716395387869,64,style_aspects,[],claude_monet,descriptive_all_available
gpt-image-2,texture,1.8318115506586805,64,style_aspects,[],claude_monet,descriptive_all_available
gpt-image-2,color,0.8004376585915163,64,style_aspects,[],alfred_sisley,descriptive_all_available
gpt-image-2,spatial,0.6866485707986811,64,style_aspects,[],alfred_sisley,descriptive_all_available
gpt-image-2,texture,1.4708727533466273,64,style_aspects,[],alfred_sisley,descriptive_all_available
gpt-image-2,color,0.8908976013616612,64,style_aspects,[],camille_pissarro,descriptive_all_available
gpt-image-2,spatial,0.8946137335203443,64,style_aspects,[],camille_pissarro,descriptive_all_available
gpt-image-2,texture,1.7308288939712373,64,style_aspects,[],camille_pissarro,descriptive_all_available
gpt-image-2,color,0.7813665578564586,64,style_aspects,[],paul_cezanne,descriptive_all_available
gpt-image-2,spatial,0.688605781987782,64,style_aspects,[],paul_cezanne,descriptive_all_available
gpt-image-2,texture,1.936714060597994,64,style_aspects,[],paul_cezanne,descriptive_all_available
