content_class,image_id,painter_id,pipeline,value
built,wikidata:Q108187503,paul_cezanne,primary512,0.6000343976518671
land,wikidata:Q108479438,paul_cezanne,primary512,0.09428778156163373
land,wikidata:Q119122440,paul_cezanne,primary512,0.20990717436051842
land,wikidata:Q123469396,paul_cezanne,primary512,0.3222513994963919
water,wikidata:Q124156637,paul_cezanne,primary512,0.3053599033365513
land,wikidata:Q135088199,paul_cezanne,primary512,0.5619513809902836
land,wikidata:Q135208928,paul_cezanne,primary512,0.031277683978755556
water,wikidata:Q20190070,paul_cezanne,primary512,0.005576627190735675
land,wikidata:Q20198272,paul_cezanne,primary512,0.5085581844564132
land,wikidata:Q20879001,paul_cezanne,primary512,1.0291726084767638
land,wikidata:Q22337850,paul_cezanne,primary512,1.2000144486560202
land,wikidata:Q28039709,paul_cezanne,primary512,1.4062470144759316
built,wikidata:Q28126470,paul_cezanne,primary512,0.6628010929288864
built,wikidata:Q28126472,paul_cezanne,primary512,0.7833897178403978
land,wikidata:Q28126494,paul_cezanne,primary512,2.366289792966151
built,wikidata:Q3821663,paul_cezanne,primary512,0.7896172951138096
land,wikidata:Q3984602,paul_cezanne,primary512,1.263077959540002
land,wikidata:Q63670617,paul_cezanne,primary512,2.494745500968869
built,wikidata:Q63870916,paul_cezanne,primary512,3.7663365678367926
built,wikidata:Q64212455,paul_cezanne,primary512,0.9132217703487686
land,wikidata:Q64244598,paul_cezanne,primary512,0.001417499293677509
water,wikidata:Q64319425,paul_cezanne,primary512,0.8157068289953405
land,wikidata:Q64355195,paul_cezanne,primary512,0.5848050182010374
built,wikidata:Q64364677,paul_cezanne,primary512,1.7223153139200926
land,wikidata:Q64366377,paul_cezanne,primary512,0.16326786094314719
built,wikidata:Q64370842,paul_cezanne,primary512,1.2053118146925665
land,wikidata:Q64374464,paul_cezanne,primary512,1.1801271100443436
built,wikidata:Q79161263,paul_cezanne,primary512,0.020986374187633973
built,wikidata:Q79889845,paul_cezanne,primary512,-0.01977503818734349
land,wikidata:Q87842510,paul_cezanne,primary512,0.8622293715493664
land,wikidata:Q91932567,paul_cezanne,primary512,0.6838060464758762
built,wikidata:Q94637082,paul_cezanne,primary512,-0.5478405016809876
land,wikidata:Q105099583,claude_monet,resolution256,-0.42820939440757266
water,wikidata:Q105099601,claude_monet,resolution256,0.08608931192023948
land,wikidata:Q105099613,claude_monet,resolution256,1.735394523091495
water,wikidata:Q105099626,claude_monet,resolution256,-0.36948351980958066
land,wikidata:Q106879983,claude_monet,resolution256,0.23007760809930877
built,wikidata:Q106925109,claude_monet,resolution256,-0.5276240865849082
water,wikidata:Q113520917,claude_monet,resolution256,-0.3488126487119154
built,wikidata:Q116143411,claude_monet,resolution256,-0.43131053240548456
water,wikidata:Q117435199,claude_monet,resolution256,0.8845074134803649
built,wikidata:Q117435200,claude_monet,resolution256,-0.11122585843751438
water,wikidata:Q17492292,claude_monet,resolution256,0.11895172868411101
water,wikidata:Q17493461,claude_monet,resolution256,-0.09700255934137184
water,wikidata:Q17493907,claude_monet,resolution256,0.04890936402290826
land,wikidata:Q19967292,claude_monet,resolution256,1.4673236796175178
water,wikidata:Q20538824,claude_monet,resolution256,-0.17105522395557224
water,wikidata:Q20538849,claude_monet,resolution256,-0.47427313014214567
water,wikidata:Q20809479,claude_monet,resolution256,-0.09586267777069618
land,wikidata:Q2450237,claude_monet,resolution256,0.8755182150251312
water,wikidata:Q24953805,claude_monet,resolution256,0.23239354838781023
water,wikidata:Q30093031,claude_monet,resolution256,-0.10008113032858376
land,wikidata:Q3794124,claude_monet,resolution256,0.6865693003005279
built,wikidata:Q47615867,claude_monet,resolution256,0.9866610250691171
land,wikidata:Q50415977,claude_monet,resolution256,-0.07724825971794679
water,wikidata:Q50700359,claude_monet,resolution256,-0.1978347194752104
water,wikidata:Q59530379,claude_monet,resolution256,-0.5261401839931757
land,wikidata:Q63952037,claude_monet,resolution256,3.688061931437373
water,wikidata:Q66126523,claude_monet,resolution256,-0.9170423222448602
water,wikidata:Q67158045,claude_monet,resolution256,3.900053238228134
land,wikidata:Q67220780,claude_monet,resolution256,0.49633924526829365
water,wikidata:Q67609602,claude_monet,resolution256,-0.16422091949663367
water,wikidata:Q68372814,claude_monet,resolution256,1.5941143586377902
land,wikidata:Q79790733,claude_monet,resolution256,1.136498356579919
land,wikidata:Q79790741,claude_monet,resolution256,1.2503873572137882
water,wikidata:Q79868506,claude_monet,resolution256,-0.17254410633254194
land,wikidata:Q85224931,claude_monet,resolution256,0.7492338518649733
water,wikidata:Q87367853,claude_monet,resolution256,0.07926910502719177
water,wikidata:Q92787519,claude_monet,resolution256,-1.0413706504460878
land,wikidata:Q92831691,claude_monet,resolution256,-0.04015213561051604
built,wikidata:Q108187503,paul_cezanne,resolution256,0.6039571503497497
land,wikidata:Q108479438,paul_cezanne,resolution256,0.08708831663931128
land,wikidata:Q119122440,paul_cezanne,resolution256,0.20929627078946286
land,wikidata:Q123469396,paul_cezanne,resolution256,0.3142269171304044
water,wikidata:Q124156637,paul_cezanne,resolution256,0.2931162770544698
land,wikidata:Q135088199,paul_cezanne,resolution256,0.5592853535711809
land,wikidata:Q135208928,paul_cezanne,resolution256,0.030266043904473548
water,wikidata:Q20190070,paul_cezanne,resolution256,0.0051975116691004766
land,wikidata:Q20198272,paul_cezanne,resolution256,0.4986440195495106
land,wikidata:Q20879001,paul_cezanne,resolution256,1.0208247635519914
land,wikidata:Q22337850,paul_cezanne,resolution256,1.1967376631472773
land,wikidata:Q28039709,paul_cezanne,resolution256,1.3890862554531473
built,wikidata:Q28126470,paul_cezanne,resolution256,0.6602237929369364
built,wikidata:Q28126472,paul_cezanne,resolution256,0.7638992586638096
land,wikidata:Q28126494,paul_cezanne,resolution256,2.361939094083875
built,wikidata:Q3821663,paul_cezanne,resolution256,0.7855921645536863
land,wikidata:Q3984602,paul_cezanne,resolution256,1.2686012102656208
land,wikidata:Q63670617,paul_cezanne,resolution256,2.4903007845410716
built,wikidata:Q63870916,paul_cezanne,resolution256,3.758656606586061
built,wikidata:Q64212455,paul_cezanne,resolution256,0.9124133761508382
land,wikidata:Q64244598,paul_cezanne,resolution256,0.004754748837081245
water,wikidata:Q64319425,paul_cezanne,resolution256,0.8544464435425945
land,wikidata:Q64355195,paul_cezanne,resolution256,0.5812986842253717
built,wikidata:Q64364677,paul_cezanne,resolution256,1.71728305518284
land,wikidata:Q64366377,paul_cezanne,resolution256,0.16295220761071721
built,wikidata:Q64370842,paul_cezanne,resolution256,1.2058676456295425
land,wikidata:Q64374464,paul_cezanne,resolution256,1.1747538764615029
built,wikidata:Q79161263,paul_cezanne,resolution256,0.014823098997207946
built,wikidata:Q79889845,paul_cezanne,resolution256,-0.02126558146233921
land,wikidata:Q87842510,paul_cezanne,resolution256,0.8603708186158886
land,wikidata:Q91932567,paul_cezanne,resolution256,0.6650151469822677
built,wikidata:Q94637082,paul_cezanne,resolution256,-0.5472363750811557
