painter_id,draw,classifier,balanced_accuracy,auc,real_specificity,generated_recall
alfred_sisley,4,rbf,0.5377358490566038,0.5646137415450339,0.5094339622641509,0.5660377358490566
alfred_sisley,5,linear,0.5094339622641509,0.5692417230331078,0.4528301886792453,0.5660377358490566
alfred_sisley,5,rbf,0.49056603773584906,0.5510857956568174,0.5094339622641509,0.4716981132075472
alfred_sisley,6,linear,0.49056603773584906,0.5058739765040939,0.5094339622641509,0.4716981132075472
alfred_sisley,6,rbf,0.46226415094339623,0.41402634389462445,0.49056603773584906,0.4339622641509434
alfred_sisley,7,linear,0.4056603773584906,0.42114631541473835,0.41509433962264153,0.39622641509433965
alfred_sisley,7,rbf,0.4716981132075472,0.4788180847276611,0.5471698113207547,0.39622641509433965
alfred_sisley,8,linear,0.5849056603773585,0.6219295122819509,0.5660377358490566,0.6037735849056604
alfred_sisley,8,rbf,0.5754716981132075,0.6176575293698825,0.6037735849056604,0.5471698113207547
alfred_sisley,9,linear,0.4811320754716981,0.5133499466002136,0.49056603773584906,0.4716981132075472
alfred_sisley,9,rbf,0.49056603773584906,0.5019579921680313,0.4528301886792453,0.5283018867924528
alfred_sisley,10,linear,0.6037735849056604,0.5738697045211819,0.660377358490566,0.5471698113207547
alfred_sisley,10,rbf,0.6698113207547169,0.6678533285866857,0.7169811320754716,0.6226415094339622
alfred_sisley,11,linear,0.5283018867924528,0.5703097187611249,0.5471698113207547,0.5094339622641509
alfred_sisley,11,rbf,0.5377358490566038,0.5792096831612673,0.6037735849056604,0.4716981132075472
alfred_sisley,12,linear,0.37735849056603776,0.35030259878960485,0.32075471698113206,0.4339622641509434
alfred_sisley,12,rbf,0.330188679245283,0.30473478106087576,0.33962264150943394,0.32075471698113206
alfred_sisley,13,linear,0.5188679245283019,0.5176219295122819,0.5660377358490566,0.4716981132075472
alfred_sisley,13,rbf,0.5754716981132075,0.5888216447134211,0.5283018867924528,0.6226415094339622
alfred_sisley,14,linear,0.4716981132075472,0.5051619793520826,0.49056603773584906,0.4528301886792453
alfred_sisley,14,rbf,0.5094339622641509,0.5133499466002136,0.5660377358490566,0.4528301886792453
alfred_sisley,15,linear,0.4528301886792453,0.42007831968672127,0.3584905660377358,0.5471698113207547
alfred_sisley,15,rbf,0.44339622641509435,0.39302242791028835,0.39622641509433965,0.49056603773584906
camille_pissarro,0,linear,0.4765625,0.4091796875,0.515625,0.4375
camille_pissarro,0,rbf,0.484375,0.46630859375,0.453125,0.515625
camille_pissarro,1,linear,0.484375,0.50244140625,0.46875,0.5
camille_pissarro,1,rbf,0.5,0.509765625,0.515625,0.484375
camille_pissarro,2,linear,0.5546875,0.54931640625,0.515625,0.59375
camille_pissarro,2,rbf,0.484375,0.530517578125,0.484375,0.484375
camille_pissarro,3,linear,0.5625,0.59814453125,0.5625,0.5625
camille_pissarro,3,rbf,0.46875,0.5390625,0.421875,0.515625
camille_pissarro,4,linear,0.5546875,0.52490234375,0.578125,0.53125
camille_pissarro,4,rbf,0.5703125,0.58349609375,0.5625,0.578125
camille_pissarro,5,linear,0.5,0.501220703125,0.4375,0.5625
camille_pissarro,5,rbf,0.484375,0.47607421875,0.484375,0.484375
camille_pissarro,6,linear,0.4296875,0.450927734375,0.46875,0.390625
camille_pissarro,6,rbf,0.46875,0.487060546875,0.5,0.4375
camille_pissarro,7,linear,0.5234375,0.49560546875,0.484375,0.5625
camille_pissarro,7,rbf,0.5,0.487060546875,0.46875,0.53125
camille_pissarro,8,linear,0.4609375,0.47998046875,0.484375,0.4375
camille_pissarro,8,rbf,0.484375,0.467529296875,0.5,0.46875
camille_pissarro,9,linear,0.546875,0.513916015625,0.5625,0.53125
camille_pissarro,9,rbf,0.5078125,0.503662109375,0.53125,0.484375
camille_pissarro,10,linear,0.421875,0.395263671875,0.484375,0.359375
camille_pissarro,10,rbf,0.4140625,0.414306640625,0.46875,0.359375
camille_pissarro,11,linear,0.5703125,0.60400390625,0.59375,0.546875
camille_pissarro,11,rbf,0.5234375,0.510009765625,0.5625,0.484375
camille_pissarro,12,linear,0.4765625,0.47900390625,0.453125,0.5
camille_pissarro,12,rbf,0.4765625,0.4619140625,0.421875,0.53125
camille_pissarro,13,linear,0.4921875,0.50732421875,0.484375,0.5
camille_pissarro,13,rbf,0.4765625,0.468017578125,0.4375,0.515625
camille_pissarro,14,linear,0.46875,0.5234375,0.46875,0.46875
camille_pissarro,14,rbf,0.5234375,0.54541015625,0.546875,0.5
camille_pissarro,15,linear,0.484375,0.4970703125,0.5,0.46875
camille_pissarro,15,rbf,0.3828125,0.378662109375,0.34375,0.421875
paul_cezanne,0,linear,0.5096153846153846,0.5281065088757396,0.5384615384615384,0.4807692307692308
paul_cezanne,0,rbf,0.5384615384615385,0.5931952662721893,0.5576923076923077,0.5192307692307693
paul_cezanne,1,linear,0.5673076923076923,0.602810650887574,0.5961538461538461,0.5384615384615384
paul_cezanne,1,rbf,0.6057692307692308,0.6005917159763313,0.6538461538461539,0.5576923076923077
paul_cezanne,2,linear,0.5769230769230769,0.6131656804733728,0.5576923076923077,0.5961538461538461
paul_cezanne,2,rbf,0.5865384615384616,0.6187130177514792,0.6153846153846154,0.5576923076923077
paul_cezanne,3,linear,0.5576923076923077,0.5181213017751479,0.5576923076923077,0.5576923076923077
paul_cezanne,3,rbf,0.5192307692307693,0.48039940828402367,0.5192307692307693,0.5192307692307693
paul_cezanne,4,linear,0.4807692307692308,0.4981508875739645,0.5192307692307693,0.4423076923076923
paul_cezanne,4,rbf,0.5288461538461539,0.5358727810650887,0.5192307692307693,0.5384615384615384
paul_cezanne,5,linear,0.5961538461538461,0.5591715976331361,0.6346153846153846,0.5576923076923077
paul_cezanne,5,rbf,0.5673076923076923,0.5728550295857988,0.5576923076923077,0.5769230769230769
paul_cezanne,6,linear,0.5,0.5247781065088757,0.5769230769230769,0.4230769230769231
paul_cezanne,6,rbf,0.5,0.5384615384615384,0.5576923076923077,0.4423076923076923
paul_cezanne,7,linear,0.5961538461538461,0.5599112426035503,0.5384615384615384,0.6538461538461539
paul_cezanne,7,rbf,0.6057692307692308,0.6020710059171598,0.5192307692307693,0.6923076923076923
paul_cezanne,8,linear,0.4615384615384615,0.4452662721893491,0.5769230769230769,0.34615384615384615
paul_cezanne,8,rbf,0.45192307692307687,0.3635355029585799,0.5384615384615384,0.36538461538461536
paul_cezanne,9,linear,0.4326923076923077,0.4260355029585799,0.5,0.36538461538461536
paul_cezanne,9,rbf,0.3846153846153846,0.3594674556213018,0.40384615384615385,0.36538461538461536
paul_cezanne,10,linear,0.5480769230769231,0.5676775147928994,0.5576923076923077,0.5384615384615384
paul_cezanne,10,rbf,0.5865384615384616,0.5894970414201184,0.6153846153846154,0.5576923076923077
paul_cezanne,11,linear,0.6153846153846154,0.6042899408284024,0.6730769230769231,0.5576923076923077
paul_cezanne,11,rbf,0.5096153846153846,0.5673076923076923,0.5384615384615384,0.4807692307692308
paul_cezanne,12,linear,0.3846153846153846,0.4238165680473373,0.34615384615384615,0.4230769230769231
paul_cezanne,12,rbf,0.40384615384615385,0.3661242603550296,0.40384615384615385,0.40384615384615385
paul_cezanne,13,linear,0.5288461538461539,0.5255177514792899,0.5192307692307693,0.5384615384615384
paul_cezanne,13,rbf,0.5384615384615384,0.5325443786982249,0.5384615384615384,0.5384615384615384
paul_cezanne,14,linear,0.6346153846153846,0.6238905325443787,0.6346153846153846,0.6346153846153846
paul_cezanne,14,rbf,0.6346153846153846,0.6131656804733728,0.6346153846153846,0.6346153846153846
paul_cezanne,15,linear,0.5192307692307692,0.5380917159763313,0.4423076923076923,0.5961538461538461
paul_cezanne,15,rbf,0.5384615384615384,0.4974112426035503,0.5384615384615384,0.5384615384615384
