alias,auc,balanced_accuracy,classifier,family,folds,generated_count,generated_recall,method_id,painter_id,real_specificity,reference_count,split
gpt-image-2,0.9942129629629629,0.9703019781144782,linear,all31,4,64,0.984375,style_instruction,claude_monet,0.9562289562289562,297,block
gpt-image-2,0.9986847643097643,0.9820864898989898,rbf,all31,4,64,0.984375,style_instruction,claude_monet,0.9797979797979798,297,block
gpt-image-2,0.9927925084175084,0.9730639730639731,linear,all31,16,64,1.0,style_aspects,claude_monet,0.9461279461279462,297,scene
gpt-image-2,0.9958964646464646,0.9787194865319866,rbf,all31,16,64,0.984375,style_aspects,claude_monet,0.9730639730639731,297,scene
gpt-image-2,0.9936868686868687,0.9730639730639731,linear,all31,4,64,1.0,style_aspects,claude_monet,0.9461279461279462,297,block
gpt-image-2,0.9977904040404041,0.9787194865319866,rbf,all31,4,64,0.984375,style_aspects,claude_monet,0.9730639730639731,297,block
gpt-image-1,0.9262415824915825,0.8700284090909092,linear,color,16,64,0.921875,by_name,claude_monet,0.8181818181818182,297,scene
gpt-image-1,0.9706439393939394,0.9065919612794613,rbf,color,16,64,0.890625,by_name,claude_monet,0.9225589225589226,297,scene
gpt-image-1,0.9350799663299664,0.8510364057239057,linear,color,16,64,0.890625,style_instruction,claude_monet,0.8114478114478114,297,scene
gpt-image-1,0.9765888047138047,0.9490214646464646,rbf,color,16,64,0.96875,style_instruction,claude_monet,0.9292929292929293,297,scene
gpt-image-1,0.9513362794612794,0.8896254208754208,linear,color,16,64,0.9375,style_aspects,claude_monet,0.8417508417508418,297,scene
gpt-image-1,0.9872685185185185,0.9534669612794613,rbf,color,16,64,0.984375,style_aspects,claude_monet,0.9225589225589226,297,scene
gpt-image-2,0.9038299663299664,0.8465909090909092,linear,color,16,64,0.875,by_name,claude_monet,0.8181818181818182,297,scene
gpt-image-2,0.953493265993266,0.8992529461279462,rbf,color,16,64,0.90625,by_name,claude_monet,0.8922558922558923,297,scene
gpt-image-2,0.9513362794612794,0.8879419191919191,linear,color,16,64,0.9375,style_instruction,claude_monet,0.8383838383838383,297,scene
gpt-image-2,0.9835858585858586,0.9205334595959596,rbf,color,16,64,0.921875,style_instruction,claude_monet,0.9191919191919192,297,scene
gpt-image-2,0.9343434343434344,0.8398569023569024,linear,color,16,64,0.875,style_aspects,claude_monet,0.8047138047138047,297,scene
gpt-image-2,0.9810606060606061,0.9277409511784511,rbf,color,16,64,0.953125,style_aspects,claude_monet,0.9023569023569024,297,scene
gpt-image-1,0.8957281144781145,0.8231534090909092,linear,spatial,16,64,0.828125,by_name,claude_monet,0.8181818181818182,297,scene
gpt-image-1,0.9084069865319865,0.8401199494949495,rbf,spatial,16,64,0.78125,by_name,claude_monet,0.898989898989899,297,scene
gpt-image-1,0.9292403198653199,0.8655829124579124,linear,spatial,16,64,0.90625,style_instruction,claude_monet,0.8249158249158249,297,scene
gpt-image-1,0.9465488215488216,0.8724484427609427,rbf,spatial,16,64,0.859375,style_instruction,claude_monet,0.8855218855218855,297,scene
gpt-image-1,0.9373421717171717,0.8733954124579124,linear,spatial,16,64,0.921875,style_aspects,claude_monet,0.8249158249158249,297,scene
gpt-image-1,0.9589120370370371,0.8914404461279462,rbf,spatial,16,64,0.890625,style_aspects,claude_monet,0.8922558922558923,297,scene
gpt-image-2,0.9070917508417509,0.8360164141414141,linear,spatial,16,64,0.84375,by_name,claude_monet,0.8282828282828283,297,scene
gpt-image-2,0.9151936026936027,0.8669244528619529,rbf,spatial,16,64,0.828125,by_name,claude_monet,0.9057239057239057,297,scene
gpt-image-2,0.9359743265993266,0.8818129208754208,linear,spatial,16,64,0.921875,style_instruction,claude_monet,0.8417508417508418,297,scene
gpt-image-2,0.954598063973064,0.8713699494949495,rbf,spatial,16,64,0.84375,style_instruction,claude_monet,0.898989898989899,297,scene
gpt-image-2,0.9335542929292929,0.8672664141414141,linear,spatial,16,64,0.90625,style_aspects,claude_monet,0.8282828282828283,297,scene
gpt-image-2,0.952020202020202,0.8758154461279462,rbf,spatial,16,64,0.859375,style_aspects,claude_monet,0.8922558922558923,297,scene
gpt-image-1,0.9811132154882155,0.9338699494949495,linear,texture,16,64,0.96875,by_name,claude_monet,0.898989898989899,297,scene
gpt-image-1,0.9926346801346801,0.9529934764309764,rbf,texture,16,64,0.953125,by_name,claude_monet,0.9528619528619529,297,scene
gpt-image-1,0.9813236531986532,0.9321864478114479,linear,texture,16,64,0.96875,style_instruction,claude_monet,0.8956228956228957,297,scene
gpt-image-1,0.9906355218855218,0.9529934764309764,rbf,texture,16,64,0.953125,style_instruction,claude_monet,0.9528619528619529,297,scene
gpt-image-1,0.9876367845117845,0.9494949494949495,linear,texture,16,64,1.0,style_aspects,claude_monet,0.898989898989899,297,scene
gpt-image-1,0.9947916666666666,0.9814814814814814,rbf,texture,16,64,1.0,style_aspects,claude_monet,0.9629629629629629,297,scene
gpt-image-2,0.9838489057239057,0.9399989478114479,linear,texture,16,64,0.984375,by_name,claude_monet,0.8956228956228957,297,scene
gpt-image-2,0.9916877104377104,0.9513099747474747,rbf,texture,16,64,0.953125,by_name,claude_monet,0.9494949494949495,297,scene
gpt-image-2,0.9876893939393939,0.9433659511784511,linear,texture,16,64,0.984375,style_instruction,claude_monet,0.9023569023569024,297,scene
gpt-image-2,0.9961595117845118,0.9848484848484849,rbf,texture,16,64,1.0,style_instruction,claude_monet,0.9696969696969697,297,scene
gpt-image-2,0.9886889730639731,0.9444444444444444,linear,texture,16,64,1.0,style_aspects,claude_monet,0.8888888888888888,297,scene
gpt-image-2,0.9958438552188552,0.9719854797979798,rbf,texture,16,64,0.984375,style_aspects,claude_monet,0.9595959595959596,297,scene
gpt-image-1,0.9966096698113207,0.9686025943396226,linear,all31,16,64,0.984375,by_name,alfred_sisley,0.9528301886792453,106,scene
gpt-image-1,0.9976415094339622,0.9827535377358491,rbf,all31,16,64,0.984375,by_name,alfred_sisley,0.9811320754716981,106,scene
gpt-image-1,0.9982311320754716,0.9764150943396226,linear,all31,4,64,1.0,by_name,alfred_sisley,0.9528301886792453,106,block
gpt-image-1,0.9995577830188679,0.9858490566037736,rbf,all31,4,64,1.0,by_name,alfred_sisley,0.9716981132075472,106,block
gpt-image-1,0.9967570754716981,0.9764150943396226,linear,all31,16,64,1.0,style_instruction,alfred_sisley,0.9528301886792453,106,scene
gpt-image-1,0.9991155660377359,0.9827535377358491,rbf,all31,16,64,0.984375,style_instruction,alfred_sisley,0.9811320754716981,106,scene
gpt-image-1,0.9970518867924528,0.9669811320754718,linear,all31,4,64,1.0,style_instruction,alfred_sisley,0.9339622641509434,106,block
gpt-image-1,0.9992629716981132,0.9905660377358491,rbf,all31,4,64,1.0,style_instruction,alfred_sisley,0.9811320754716981,106,block
gpt-image-1,0.9930719339622641,0.9560731132075472,linear,all31,16,64,0.96875,style_aspects,alfred_sisley,0.9433962264150944,106,scene
gpt-image-1,0.9991155660377359,0.9827535377358491,rbf,all31,16,64,0.984375,style_aspects,alfred_sisley,0.9811320754716981,106,scene
gpt-image-1,0.9932193396226415,0.9638856132075472,linear,all31,4,64,0.984375,style_aspects,alfred_sisley,0.9433962264150944,106,block
gpt-image-1,0.9989681603773585,0.9905660377358491,rbf,all31,4,64,1.0,style_aspects,alfred_sisley,0.9811320754716981,106,block
gpt-image-2,0.9932193396226415,0.9607900943396226,linear,all31,16,64,0.96875,by_name,alfred_sisley,0.9528301886792453,106,scene
gpt-image-2,0.9969044811320755,0.9702240566037736,rbf,all31,16,64,0.96875,by_name,alfred_sisley,0.9716981132075472,106,scene
gpt-image-2,0.9948408018867925,0.9733195754716981,linear,all31,4,64,0.984375,by_name,alfred_sisley,0.9622641509433962,106,block
gpt-image-2,0.9979363207547169,0.9827535377358491,rbf,all31,4,64,0.984375,by_name,alfred_sisley,0.9811320754716981,106,block
gpt-image-2,0.9943985849056604,0.9638856132075472,linear,all31,16,64,0.984375,style_instruction,alfred_sisley,0.9433962264150944,106,scene
gpt-image-2,0.9992629716981132,0.9827535377358491,rbf,all31,16,64,0.984375,style_instruction,alfred_sisley,0.9811320754716981,106,scene
gpt-image-2,0.9955778301886793,0.9686025943396226,linear,all31,4,64,0.984375,style_instruction,alfred_sisley,0.9528301886792453,106,block
gpt-image-2,0.9992629716981132,0.9905660377358491,rbf,all31,4,64,1.0,style_instruction,alfred_sisley,0.9811320754716981,106,block
gpt-image-2,0.9921875,0.9466391509433962,linear,all31,16,64,0.96875,style_aspects,alfred_sisley,0.9245283018867925,106,scene
gpt-image-2,0.9986733490566038,0.9827535377358491,rbf,all31,16,64,0.984375,style_aspects,alfred_sisley,0.9811320754716981,106,scene
gpt-image-2,0.9929245283018868,0.9622641509433962,linear,all31,4,64,1.0,style_aspects,alfred_sisley,0.9245283018867925,106,block
gpt-image-2,0.9986733490566038,0.9827535377358491,rbf,all31,4,64,0.984375,style_aspects,alfred_sisley,0.9811320754716981,106,block
gpt-image-1,0.9600530660377359,0.8963738207547169,linear,color,16,64,0.953125,by_name,alfred_sisley,0.839622641509434,106,scene
gpt-image-1,0.9846698113207547,0.9293926886792453,rbf,color,16,64,0.953125,by_name,alfred_sisley,0.9056603773584906,106,scene
gpt-image-1,0.9693396226415094,0.9025648584905661,linear,color,16,64,0.984375,style_instruction,alfred_sisley,0.8207547169811321,106,scene
gpt-image-1,0.9929245283018868,0.9544516509433962,rbf,color,16,64,0.984375,style_instruction,alfred_sisley,0.9245283018867925,106,scene
gpt-image-1,0.9584316037735849,0.8916568396226415,linear,color,16,64,0.953125,style_aspects,alfred_sisley,0.8301886792452831,106,scene
gpt-image-1,0.9829009433962265,0.9341096698113207,rbf,color,16,64,0.953125,style_aspects,alfred_sisley,0.9150943396226415,106,scene
gpt-image-2,0.957252358490566,0.8744103773584906,linear,color,16,64,0.9375,by_name,alfred_sisley,0.8113207547169812,106,scene
gpt-image-2,0.9750884433962265,0.9184846698113207,rbf,color,16,64,0.921875,by_name,alfred_sisley,0.9150943396226415,106,scene
gpt-image-2,0.9600530660377359,0.8884139150943396,linear,color,16,64,0.984375,style_instruction,alfred_sisley,0.7924528301886793,106,scene
gpt-image-2,0.9905660377358491,0.9355837264150944,rbf,color,16,64,0.984375,style_instruction,alfred_sisley,0.8867924528301887,106,scene
gpt-image-2,0.9632959905660378,0.8884139150943396,linear,color,16,64,0.984375,style_aspects,alfred_sisley,0.7924528301886793,106,scene
gpt-image-2,0.9845224056603774,0.9450176886792453,rbf,color,16,64,0.984375,style_aspects,alfred_sisley,0.9056603773584906,106,scene
gpt-image-1,0.9005011792452831,0.843307783018868,linear,spatial,16,64,0.828125,by_name,alfred_sisley,0.8584905660377359,106,scene
gpt-image-1,0.9332252358490566,0.8794221698113207,rbf,spatial,16,64,0.84375,by_name,alfred_sisley,0.9150943396226415,106,scene
gpt-image-1,0.9119988207547169,0.8807488207547169,linear,spatial,16,64,0.921875,style_instruction,alfred_sisley,0.839622641509434,106,scene
gpt-image-1,0.9638856132075472,0.9137676886792453,rbf,spatial,16,64,0.921875,style_instruction,alfred_sisley,0.9056603773584906,106,scene
gpt-image-1,0.9320459905660378,0.858932783018868,linear,spatial,16,64,0.859375,style_aspects,alfred_sisley,0.8584905660377359,106,scene
gpt-image-1,0.9666863207547169,0.9153891509433962,rbf,spatial,16,64,0.90625,style_aspects,alfred_sisley,0.9245283018867925,106,scene
gpt-image-2,0.9173054245283019,0.8542158018867925,linear,spatial,16,64,0.859375,by_name,alfred_sisley,0.8490566037735849,106,scene
gpt-image-2,0.9544516509433962,0.8637971698113207,rbf,spatial,16,64,0.8125,by_name,alfred_sisley,0.9150943396226415,106,scene
gpt-image-2,0.9407429245283019,0.882370283018868,linear,spatial,16,64,0.90625,style_instruction,alfred_sisley,0.8584905660377359,106,scene
gpt-image-2,0.9805424528301887,0.9372051886792453,rbf,spatial,16,64,0.96875,style_instruction,alfred_sisley,0.9056603773584906,106,scene
gpt-image-2,0.9358785377358491,0.9027122641509434,linear,spatial,16,64,0.9375,style_aspects,alfred_sisley,0.8679245283018868,106,scene
gpt-image-2,0.9784787735849056,0.9310141509433962,rbf,spatial,16,64,0.9375,style_aspects,alfred_sisley,0.9245283018867925,106,scene
gpt-image-1,0.9522405660377359,0.8698408018867925,linear,texture,16,64,0.890625,by_name,alfred_sisley,0.8490566037735849,106,scene
gpt-image-1,0.9752358490566038,0.9075766509433962,rbf,texture,16,64,0.890625,by_name,alfred_sisley,0.9245283018867925,106,scene
gpt-image-1,0.9553360849056604,0.890182783018868,linear,texture,16,64,0.921875,style_instruction,alfred_sisley,0.8584905660377359,106,scene
gpt-image-1,0.9846698113207547,0.9451650943396226,rbf,texture,16,64,0.9375,style_instruction,alfred_sisley,0.9528301886792453,106,scene
gpt-image-1,0.9731721698113207,0.9074292452830188,linear,texture,16,64,0.9375,style_aspects,alfred_sisley,0.8773584905660378,106,scene
gpt-image-1,0.9938089622641509,0.9576945754716981,rbf,texture,16,64,0.953125,style_aspects,alfred_sisley,0.9622641509433962,106,scene
gpt-image-2,0.9541568396226415,0.882370283018868,linear,texture,16,64,0.90625,by_name,alfred_sisley,0.8584905660377359,106,scene
gpt-image-2,0.9771521226415094,0.9342570754716981,rbf,texture,16,64,0.90625,by_name,alfred_sisley,0.9622641509433962,106,scene
gpt-image-2,0.9665389150943396,0.9121462264150944,linear,texture,16,64,0.9375,style_instruction,alfred_sisley,0.8867924528301887,106,scene
gpt-image-2,0.9867334905660378,0.9576945754716981,rbf,texture,16,64,0.953125,style_instruction,alfred_sisley,0.9622641509433962,106,scene
gpt-image-2,0.9666863207547169,0.9230542452830188,linear,texture,16,64,0.96875,style_aspects,alfred_sisley,0.8773584905660378,106,scene
gpt-image-2,0.9914504716981132,0.9702240566037736,rbf,texture,16,64,0.96875,style_aspects,alfred_sisley,0.9716981132075472,106,scene
gpt-image-1,0.9886968085106383,0.9340093085106382,linear,all31,16,64,0.953125,by_name,camille_pissarro,0.9148936170212766,141,scene
gpt-image-1,0.9894725177304965,0.9403812056737588,rbf,all31,16,64,0.9375,by_name,camille_pissarro,0.9432624113475178,141,scene
gpt-image-1,0.9930186170212766,0.9531804078014184,linear,all31,4,64,0.984375,by_name,camille_pissarro,0.9219858156028369,141,block
gpt-image-1,0.9971187943262412,0.959552304964539,rbf,all31,4,64,0.96875,by_name,camille_pissarro,0.950354609929078,141,block
gpt-image-1,0.992686170212766,0.9496343085106382,linear,all31,16,64,0.984375,style_instruction,camille_pissarro,0.9148936170212766,141,scene
gpt-image-1,0.9986702127659575,0.9787234042553192,rbf,all31,16,64,1.0,style_instruction,camille_pissarro,0.9574468085106383,141,scene
gpt-image-1,0.9952349290780141,0.9460882092198581,linear,all31,4,64,0.984375,style_instruction,camille_pissarro,0.9078014184397163,141,block
gpt-image-1,0.9994459219858156,0.9787234042553192,rbf,all31,4,64,1.0,style_instruction,camille_pissarro,0.9574468085106383,141,block
gpt-image-1,0.989029255319149,0.9460882092198581,linear,all31,16,64,0.984375,style_aspects,camille_pissarro,0.9078014184397163,141,scene
gpt-image-1,0.9968971631205674,0.9666445035460993,rbf,all31,16,64,0.96875,style_aspects,camille_pissarro,0.9645390070921985,141,scene
gpt-image-1,0.9910239361702128,0.9460882092198581,linear,all31,4,64,0.984375,style_aspects,camille_pissarro,0.9078014184397163,141,block
gpt-image-1,0.9981161347517731,0.9744570035460993,rbf,all31,4,64,0.984375,style_aspects,camille_pissarro,0.9645390070921985,141,block
gpt-image-2,0.9894725177304965,0.9446476063829787,linear,all31,16,64,0.953125,by_name,camille_pissarro,0.9361702127659575,141,scene
gpt-image-2,0.991688829787234,0.943927304964539,rbf,all31,16,64,0.9375,by_name,camille_pissarro,0.950354609929078,141,scene
gpt-image-2,0.9927969858156028,0.9567265070921986,linear,all31,4,64,0.984375,by_name,camille_pissarro,0.9290780141843972,141,block
gpt-image-2,0.997229609929078,0.967364804964539,rbf,all31,4,64,0.984375,by_name,camille_pissarro,0.950354609929078,141,block
gpt-image-2,0.9924645390070922,0.9460882092198581,linear,all31,16,64,0.984375,style_instruction,camille_pissarro,0.9078014184397163,141,scene
gpt-image-2,0.9950132978723404,0.9630984042553192,rbf,all31,16,64,0.96875,style_instruction,camille_pissarro,0.9574468085106383,141,scene
gpt-image-2,0.9947916666666666,0.9460882092198581,linear,all31,4,64,0.984375,style_instruction,camille_pissarro,0.9078014184397163,141,block
gpt-image-2,0.9977836879432624,0.9701906028368794,rbf,all31,4,64,0.96875,style_instruction,camille_pissarro,0.9716312056737588,141,block
gpt-image-2,0.9896941489361702,0.9389960106382979,linear,all31,16,64,0.984375,style_aspects,camille_pissarro,0.8936170212765957,141,scene
gpt-image-2,0.9956781914893617,0.9552859042553192,rbf,all31,16,64,0.953125,style_aspects,camille_pissarro,0.9574468085106383,141,scene
gpt-image-2,0.9923537234042553,0.9460882092198581,linear,all31,4,64,0.984375,style_aspects,camille_pissarro,0.9078014184397163,141,block
gpt-image-2,0.9987810283687943,0.9780031028368794,rbf,all31,4,64,0.984375,style_aspects,camille_pissarro,0.9716312056737588,141,block
gpt-image-1,0.9511303191489362,0.8879100177304964,linear,color,16,64,0.953125,by_name,camille_pissarro,0.8226950354609929,141,scene
gpt-image-1,0.9706338652482269,0.9127327127659575,rbf,color,16,64,0.953125,by_name,camille_pissarro,0.8723404255319149,141,scene
gpt-image-1,0.9633200354609929,0.8808178191489362,linear,color,16,64,0.953125,style_instruction,camille_pissarro,0.8085106382978723,141,scene
gpt-image-1,0.9900265957446809,0.9254765070921986,rbf,color,16,64,0.921875,style_instruction,camille_pissarro,0.9290780141843972,141,scene
gpt-image-1,0.9298537234042553,0.8850842198581561,linear,color,16,64,0.96875,style_aspects,camille_pissarro,0.8014184397163121,141,scene
gpt-image-1,0.983488475177305,0.942542109929078,rbf,color,16,64,0.984375,style_aspects,camille_pissarro,0.900709219858156,141,scene
gpt-image-2,0.9658687943262412,0.8992686170212766,linear,color,16,64,0.96875,by_name,camille_pissarro,0.8297872340425532,141,scene
gpt-image-2,0.980718085106383,0.9418218085106382,rbf,color,16,64,0.96875,by_name,camille_pissarro,0.9148936170212766,141,scene
gpt-image-2,0.96697695035461,0.9035350177304964,linear,color,16,64,0.984375,style_instruction,camille_pissarro,0.8226950354609929,141,scene
gpt-image-2,0.9855939716312057,0.9340093085106382,rbf,color,16,64,0.953125,style_instruction,camille_pissarro,0.9148936170212766,141,scene
gpt-image-2,0.9348404255319149,0.8957225177304964,linear,color,16,64,0.96875,style_aspects,camille_pissarro,0.8226950354609929,141,scene
gpt-image-2,0.9740691489361702,0.919104609929078,rbf,color,16,64,0.9375,style_aspects,camille_pissarro,0.900709219858156,141,scene
gpt-image-1,0.8964982269503546,0.7920545212765957,linear,spatial,16,64,0.796875,by_name,camille_pissarro,0.7872340425531915,141,scene
gpt-image-1,0.9278590425531915,0.8246897163120568,rbf,spatial,16,64,0.8125,by_name,camille_pissarro,0.8368794326241135,141,scene
gpt-image-1,0.9195478723404256,0.8303967198581561,linear,spatial,16,64,0.859375,style_instruction,camille_pissarro,0.8014184397163121,141,scene
gpt-image-1,0.9546764184397163,0.8672983156028369,rbf,spatial,16,64,0.890625,style_instruction,camille_pissarro,0.8439716312056738,141,scene
gpt-image-1,0.9208776595744681,0.8538342198581561,linear,spatial,16,64,0.90625,style_aspects,camille_pissarro,0.8014184397163121,141,scene
gpt-image-1,0.960438829787234,0.878656914893617,rbf,spatial,16,64,0.90625,style_aspects,camille_pissarro,0.851063829787234,141,scene
gpt-image-2,0.8860815602836879,0.7799756205673759,linear,spatial,16,64,0.765625,by_name,camille_pissarro,0.7943262411347518,141,scene
gpt-image-2,0.9063608156028369,0.8133311170212766,rbf,spatial,16,64,0.796875,by_name,camille_pissarro,0.8297872340425532,141,scene
gpt-image-2,0.9132313829787234,0.8268506205673759,linear,spatial,16,64,0.859375,style_instruction,camille_pissarro,0.7943262411347518,141,scene
gpt-image-2,0.9499113475177305,0.8751108156028369,rbf,spatial,16,64,0.90625,style_instruction,camille_pissarro,0.8439716312056738,141,scene
gpt-image-2,0.9079122340425532,0.8268506205673759,linear,spatial,16,64,0.859375,style_aspects,camille_pissarro,0.7943262411347518,141,scene
gpt-image-2,0.950354609929078,0.8623116134751774,rbf,spatial,16,64,0.859375,style_aspects,camille_pissarro,0.8652482269503546,141,scene
gpt-image-1,0.9495789007092199,0.870844414893617,linear,texture,16,64,0.890625,by_name,camille_pissarro,0.851063829787234,141,scene
gpt-image-1,0.9729609929078015,0.8999335106382979,rbf,texture,16,64,0.90625,by_name,camille_pissarro,0.8936170212765957,141,scene
gpt-image-1,0.9712987588652482,0.8971077127659575,linear,texture,16,64,0.921875,style_instruction,camille_pissarro,0.8723404255319149,141,scene
gpt-image-1,0.989915780141844,0.9411015070921986,rbf,texture,16,64,0.953125,style_instruction,camille_pissarro,0.9290780141843972,141,scene
gpt-image-1,0.9730718085106383,0.8963874113475176,linear,texture,16,64,0.90625,style_aspects,camille_pissarro,0.8865248226950354,141,scene
gpt-image-1,0.9922429078014184,0.9446476063829787,rbf,texture,16,64,0.953125,style_aspects,camille_pissarro,0.9361702127659575,141,scene
gpt-image-2,0.9441489361702128,0.863031914893617,linear,texture,16,64,0.875,by_name,camille_pissarro,0.851063829787234,141,scene
gpt-image-2,0.9648714539007093,0.887854609929078,rbf,texture,16,64,0.875,by_name,camille_pissarro,0.900709219858156,141,scene
gpt-image-2,0.9630984042553191,0.9013741134751774,linear,texture,16,64,0.9375,style_instruction,camille_pissarro,0.8652482269503546,141,scene
gpt-image-2,0.9855939716312057,0.9332890070921986,rbf,texture,16,64,0.9375,style_instruction,camille_pissarro,0.9290780141843972,141,scene
gpt-image-2,0.9709663120567376,0.8971077127659575,linear,texture,16,64,0.921875,style_aspects,camille_pissarro,0.8723404255319149,141,scene
gpt-image-2,0.9901374113475178,0.9368351063829787,rbf,texture,16,64,0.9375,style_aspects,camille_pissarro,0.9361702127659575,141,scene
gpt-image-1,0.9964285714285714,0.9510416666666667,linear,all31,16,64,0.96875,by_name,paul_cezanne,0.9333333333333333,105,scene
gpt-image-1,0.9986607142857142,0.9779017857142858,rbf,all31,16,64,0.984375,by_name,paul_cezanne,0.9714285714285714,105,scene
gpt-image-1,0.9959821428571428,0.9462797619047619,linear,all31,4,64,0.96875,by_name,paul_cezanne,0.9238095238095239,105,block
gpt-image-1,0.9989583333333333,0.9779017857142858,rbf,all31,4,64,0.984375,by_name,paul_cezanne,0.9714285714285714,105,block
gpt-image-1,0.9848214285714286,0.9415178571428571,linear,all31,16,64,0.96875,style_instruction,paul_cezanne,0.9142857142857143,105,scene
gpt-image-1,0.9922619047619048,0.965327380952381,rbf,all31,16,64,0.96875,style_instruction,paul_cezanne,0.9619047619047619,105,scene
gpt-image-1,0.9877976190476191,0.9493303571428571,linear,all31,4,64,0.984375,style_instruction,paul_cezanne,0.9142857142857143,105,block
gpt-image-1,0.9944940476190476,0.9636160714285714,rbf,all31,4,64,0.984375,style_instruction,paul_cezanne,0.9428571428571428,105,block
gpt-image-1,0.9891369047619047,0.9415178571428571,linear,all31,16,64,0.96875,style_aspects,paul_cezanne,0.9142857142857143,105,scene
gpt-image-1,0.9924107142857143,0.9479910714285714,rbf,all31,16,64,0.953125,style_aspects,paul_cezanne,0.9428571428571428,105,scene
gpt-image-1,0.9886904761904762,0.9367559523809523,linear,all31,4,64,0.96875,style_aspects,paul_cezanne,0.9047619047619048,105,block
gpt-image-1,0.9947916666666666,0.9558035714285714,rbf,all31,4,64,0.96875,style_aspects,paul_cezanne,0.9428571428571428,105,block
gpt-image-2,0.9915178571428571,0.9636160714285714,linear,all31,16,64,0.984375,by_name,paul_cezanne,0.9428571428571428,105,scene
gpt-image-2,0.9946428571428572,0.973139880952381,rbf,all31,16,64,0.984375,by_name,paul_cezanne,0.9619047619047619,105,scene
gpt-image-2,0.9925595238095238,0.9588541666666667,linear,all31,4,64,0.984375,by_name,paul_cezanne,0.9333333333333333,105,block
gpt-image-2,0.9952380952380953,0.973139880952381,rbf,all31,4,64,0.984375,by_name,paul_cezanne,0.9619047619047619,105,block
gpt-image-2,0.984077380952381,0.9133184523809523,linear,all31,16,64,0.921875,style_instruction,paul_cezanne,0.9047619047619048,105,scene
gpt-image-2,0.9895833333333334,0.941889880952381,rbf,all31,16,64,0.921875,style_instruction,paul_cezanne,0.9619047619047619,105,scene
gpt-image-2,0.9904761904761905,0.9306547619047619,linear,all31,4,64,0.9375,style_instruction,paul_cezanne,0.9238095238095239,105,block
gpt-image-2,0.9959821428571428,0.9605654761904762,rbf,all31,4,64,0.96875,style_instruction,paul_cezanne,0.9523809523809523,105,block
gpt-image-2,0.9903273809523809,0.9415178571428571,linear,all31,16,64,0.96875,style_aspects,paul_cezanne,0.9142857142857143,105,scene
gpt-image-2,0.9953869047619047,0.9683779761904762,rbf,all31,16,64,0.984375,style_aspects,paul_cezanne,0.9523809523809523,105,scene
gpt-image-2,0.9928571428571429,0.9398065476190476,linear,all31,4,64,0.984375,style_aspects,paul_cezanne,0.8952380952380953,105,block
gpt-image-2,0.9988095238095238,0.9636160714285714,rbf,all31,4,64,0.984375,style_aspects,paul_cezanne,0.9428571428571428,105,block
gpt-image-1,0.844047619047619,0.7651041666666667,linear,color,16,64,0.796875,by_name,paul_cezanne,0.7333333333333333,105,scene
