attempt,complete,latency_seconds,observed,observed.format,observed.height,observed.image_bytes,observed.image_sha256,observed.minimum_512,observed.mode,observed.reported.background,observed.reported.model,observed.reported.output_format,observed.reported.quality,observed.reported.size,observed.square_1024,observed.width,post_started,request_id,slot_sequence,status,status_code,transport_started_monotonic
1,True,39.83502620796207,,PNG,1122,2536027,f33b9c86d159902d1662f9ec5900305167ea832fd459a06e39f083b560ece305,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_village:r02:generic:muted,24,image_returned,200,729561.721690375
1,True,38.976448499946855,,PNG,1130,2658275,b43518401384a0669db0c7c2b4522e3e6431aff633a1c0a9c7d8516abade9441,True,RGB,opaque,,png,low,1392x1130,False,1392,True,prv2:built_village:r02:cezanne:muted,25,image_returned,200,729566.964916958
1,True,32.970073166070506,,PNG,1122,2665779,1155cb4b42c5bdf7df0cb531f2dfa73cae2ca43cded2cdd6710a0c2f193a4fdb,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_village:r02:monet:muted,26,image_returned,200,729601.76859425
1,True,31.99258625006769,,PNG,1122,3394772,d68bc17b5d5cd6d0c9692debed1d6579d85a007277468176b30a5c019238a95f,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_village:r02:free:vivid,27,image_returned,200,729607.0223195
1,True,32.263684208039194,,PNG,1123,2928069,84a7703698290ade0a2b12087dba3189a6fa5933ae6e128d4b0e4a8565ceadb2,True,RGB,opaque,,png,low,1401x1123,False,1401,True,prv2:built_village:r02:generic:vivid,28,image_returned,200,729634.9528755
1,True,34.566452875034884,,PNG,1122,3317840,a455be48bb83ea1cdf17f3b37603237966f28f77a7574cac4a83f704e519e291,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_village:r02:monet:vivid,29,image_returned,200,729640.184122541
1,True,28.676009667105973,,PNG,1125,2863471,3c02d86df6acf41553d965e3092e110bdcf4bcee7af22741060ac6c572baea6a,True,RGB,opaque,,png,low,1398x1125,False,1398,True,prv2:built_village:r02:cezanne:vivid,30,image_returned,200,729667.440259666
1,True,26.994950416963547,,PNG,1142,2859948,ad5a6d5dbde4f9ac4c6bf5f4286e2ffc8bdeed878e7b6b644b54d0c3030d6a85,True,RGB,opaque,,png,low,1377x1142,False,1377,True,prv2:built_village:r02:free:muted,31,image_returned,200,729674.980352083
1,True,5.020598666975275,,,,,,,,,,,,,,,True,prv2:built_houses:r02:free:muted,33,http_error,503,729707.435278833
1,True,33.21027545793913,,PNG,1132,2407752,a23ea979af0ddabe47455f0ae46a78c584b6edfd68b4532427ffb786dc810c0f,True,RGB,opaque,,png,low,1389x1132,False,1389,True,prv2:built_houses:r02:cezanne:muted,32,image_returned,200,729702.205558583
1,True,26.6347174589755,,PNG,1122,2778406,649dff520a94311cfd836351d5189871ca56a4d05cbc22269ebc32ad061b810a,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r02:generic:muted,34,image_returned,200,729712.697746041
1,True,27.210026749991812,,PNG,1117,3266078,be96339b3b40cca3c7c4f0e4e2441a9c5d205e23e679bef443bc5a4433943fa2,True,RGB,opaque,,png,low,1408x1117,False,1408,True,prv2:built_houses:r02:generic:vivid,35,image_returned,200,729735.642842791
1,True,25.133162916987203,,PNG,1125,3288509,d8b9acfbaf231a75d064f763fbebbd0cf95534f12ab18890bd4ebb6c031a5ad4,True,RGB,opaque,,png,low,1398x1125,False,1398,True,prv2:built_houses:r02:monet:vivid,36,image_returned,200,729740.867398833
1,True,26.279866833938286,,PNG,1162,3127107,d197d9f446abf0802c15805d0698f4eb00471711a67868273c1453630da6bc13,True,RGB,opaque,,png,low,1354x1162,False,1354,True,prv2:built_houses:r02:free:vivid,37,image_returned,200,729763.068308416
1,True,29.154982833075337,,PNG,1121,2702894,77dcccd83381dbae0f8dd8d0af3786c784610d8aa7e7df0c11a62e6ad87df90c,True,RGB,opaque,,png,low,1403x1121,False,1403,True,prv2:built_houses:r02:cezanne:vivid,38,image_returned,200,729768.334029833
1,True,27.81879112496972,,PNG,1122,2694517,6d7b0771fd3b2173ac66f21ccecdb0d56aba27cddb944e63ac4ab87924097922,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r02:monet:muted,39,image_returned,200,729789.564600583
1,True,29.91897329199128,,PNG,1122,3246217,d452551f6efef10d55532bbcdd6c84d3cfd41834356c37cee7efd17dac2f1868,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:land_fields:r00:monet:vivid,40,image_returned,200,729817.599097708
1,True,24.66388249990996,,PNG,1119,3258926,42004e0a0cb04dcb506910de9ee5339e2514f99a02ad8a91a4478f812c2362b4,True,RGB,opaque,,png,low,1405x1119,False,1405,True,prv2:land_fields:r00:free:vivid,41,image_returned,200,729822.859227
1,True,25.077399792033248,,PNG,1120,2423673,ed0f362fa18f149b349539e8ca89016a6c14fdb66a03429f52d1b261bf8e39cb,True,RGB,opaque,,png,low,1405x1120,False,1405,True,prv2:land_fields:r00:free:muted,42,image_returned,200,729847.732756416
1,True,26.030150249949656,,PNG,1125,2584542,7f9954545ac654015be8e0b3126ceae48ef16d0e86e7711acb1ee7edd03905d6,True,RGB,opaque,,png,low,1398x1125,False,1398,True,prv2:land_fields:r00:cezanne:muted,43,image_returned,200,729852.976602333
1,True,24.284386500017717,,PNG,1120,2622704,00fbb30a35cfbd0adba6517a37e7cb1147add8c1c630b54da345a4fda9ecbabe,True,RGB,opaque,,png,low,1405x1120,False,1405,True,prv2:land_fields:r00:generic:muted,44,image_returned,200,729873.02618975
1,True,28.310210458002985,,PNG,1122,2806538,fa5c36b5eb96fdf2a4d59d9d9240898fee3d24c869200cc94ef5eec13afacd17,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:land_fields:r00:cezanne:vivid,45,image_returned,200,729879.251024
1,True,26.29408920800779,,PNG,1122,3005480,2e093df9f2db405a57b99436fd4f589da35e13c1fab4d05f678e3cae75b4af64,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:land_fields:r00:generic:vivid,46,image_returned,200,729897.527209083
1,True,24.668476833961904,,PNG,1120,2569308,dace141818959c4e4aa8cfe34f1d18b1929c97e6d6cd8ceb100deaadb9d8a028,True,RGB,opaque,,png,low,1404x1120,False,1404,True,prv2:land_fields:r00:monet:muted,47,image_returned,200,729907.773896541
1,True,30.461626542033628,,PNG,1121,2803857,0e78484f0238e5081b88c47eac3d5a9def1f6089a910aa01e31be1662d070dc6,True,RGB,opaque,,png,low,1403x1121,False,1403,True,prv2:land_fields:r01:cezanne:vivid,48,image_returned,200,729932.657433791
1,True,26.460838791914284,,PNG,1120,2629952,f9d8766f3b4d344756a82a9470c69f0c476f5845445d3d9bf8f622fe031e4bbe,True,RGB,opaque,,png,low,1405x1120,False,1405,True,prv2:land_fields:r01:generic:muted,49,image_returned,200,729937.918892416
