painter_id,domain,descriptor,value,n,route,condition
claude_monet,generated,square_counts,1,1,oauth_gpt_image_2,artist_free
claude_monet,generated,border_counts,unknown,72,oauth_gpt_image_2,generic_named
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,oauth_gpt_image_2,generic_named
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,oauth_gpt_image_2,generic_named
claude_monet,generated,format_counts,PNG,72,oauth_gpt_image_2,generic_named
claude_monet,generated,source_proxy_counts,route:oauth_gpt_image_2,72,oauth_gpt_image_2,generic_named
claude_monet,generated,square_counts,0,71,oauth_gpt_image_2,generic_named
claude_monet,generated,square_counts,1,1,oauth_gpt_image_2,generic_named
claude_monet,generated,border_counts,unknown,72,oauth_gpt_image_2,named
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,oauth_gpt_image_2,named
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,oauth_gpt_image_2,named
claude_monet,generated,format_counts,PNG,72,oauth_gpt_image_2,named
claude_monet,generated,source_proxy_counts,route:oauth_gpt_image_2,72,oauth_gpt_image_2,named
claude_monet,generated,square_counts,0,71,oauth_gpt_image_2,named
claude_monet,generated,square_counts,1,1,oauth_gpt_image_2,named
paul_cezanne,original,border_counts,False,31,,
paul_cezanne,original,border_counts,True,1,,
paul_cezanne,original,capture_workflow_counts,unresolved,32,,
paul_cezanne,original,color_profile_counts,embedded_to_srgb,9,,
paul_cezanne,original,color_profile_counts,missing_assumed_srgb,23,,
paul_cezanne,original,format_counts,unknown,32,,
paul_cezanne,original,source_proxy_counts,collection:Q1061094,1,,
paul_cezanne,original,source_proxy_counts,collection:Q106857407+Q23785329,1,,
paul_cezanne,original,source_proxy_counts,collection:Q11493678,1,,
paul_cezanne,original,source_proxy_counts,collection:Q12110695,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1233913,1,,
paul_cezanne,original,source_proxy_counts,collection:Q128316,1,,
paul_cezanne,original,source_proxy_counts,collection:Q135087947,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1416890,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1421440,1,,
paul_cezanne,original,source_proxy_counts,collection:Q14715853,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1492387,1,,
paul_cezanne,original,source_proxy_counts,collection:Q15128575+Q194622,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1565911,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1641836,1,,
paul_cezanne,original,source_proxy_counts,collection:Q194626,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1955739,1,,
paul_cezanne,original,source_proxy_counts,collection:Q1992004,1,,
paul_cezanne,original,source_proxy_counts,collection:Q2046319,1,,
paul_cezanne,original,source_proxy_counts,collection:Q20862230,1,,
paul_cezanne,original,source_proxy_counts,collection:Q214867,1,,
paul_cezanne,original,source_proxy_counts,collection:Q23402,1,,
paul_cezanne,original,source_proxy_counts,collection:Q2603905+Q68110244,1,,
paul_cezanne,original,source_proxy_counts,collection:Q56229813+Q684556,1,,
paul_cezanne,original,source_proxy_counts,collection:Q60363894,1,,
paul_cezanne,original,source_proxy_counts,collection:Q670250,1,,
paul_cezanne,original,source_proxy_counts,collection:Q682406,1,,
paul_cezanne,original,source_proxy_counts,collection:Q693591,1,,
paul_cezanne,original,source_proxy_counts,collection:Q745866,1,,
paul_cezanne,original,source_proxy_counts,collection:Q808462,3,,
paul_cezanne,original,source_proxy_counts,collection:Q812285,1,,
paul_cezanne,original,square_counts,0,32,,
paul_cezanne,generated,border_counts,unknown,72,flux_2_max,artist_free
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,72,flux_2_max,artist_free
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,72,flux_2_max,artist_free
paul_cezanne,generated,format_counts,PNG,72,flux_2_max,artist_free
paul_cezanne,generated,source_proxy_counts,route:flux_2_max,72,flux_2_max,artist_free
paul_cezanne,generated,square_counts,1,72,flux_2_max,artist_free
paul_cezanne,generated,border_counts,unknown,72,flux_2_max,named
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,72,flux_2_max,named
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,72,flux_2_max,named
paul_cezanne,generated,format_counts,PNG,72,flux_2_max,named
paul_cezanne,generated,source_proxy_counts,route:flux_2_max,72,flux_2_max,named
paul_cezanne,generated,square_counts,1,72,flux_2_max,named
paul_cezanne,generated,border_counts,unknown,72,nano_banana_2,artist_free
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,72,nano_banana_2,artist_free
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,72,nano_banana_2,artist_free
paul_cezanne,generated,format_counts,JPEG,72,nano_banana_2,artist_free
paul_cezanne,generated,source_proxy_counts,route:nano_banana_2,72,nano_banana_2,artist_free
paul_cezanne,generated,square_counts,1,72,nano_banana_2,artist_free
paul_cezanne,generated,border_counts,unknown,72,nano_banana_2,named
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,72,nano_banana_2,named
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,72,nano_banana_2,named
paul_cezanne,generated,format_counts,JPEG,72,nano_banana_2,named
paul_cezanne,generated,source_proxy_counts,route:nano_banana_2,72,nano_banana_2,named
paul_cezanne,generated,square_counts,1,72,nano_banana_2,named
paul_cezanne,generated,border_counts,unknown,72,oauth_gpt_image_2,artist_free
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,72,oauth_gpt_image_2,artist_free
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,72,oauth_gpt_image_2,artist_free
paul_cezanne,generated,format_counts,PNG,72,oauth_gpt_image_2,artist_free
paul_cezanne,generated,source_proxy_counts,route:oauth_gpt_image_2,72,oauth_gpt_image_2,artist_free
paul_cezanne,generated,square_counts,0,71,oauth_gpt_image_2,artist_free
paul_cezanne,generated,square_counts,1,1,oauth_gpt_image_2,artist_free
paul_cezanne,generated,border_counts,unknown,70,oauth_gpt_image_2,generic_named
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,70,oauth_gpt_image_2,generic_named
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,70,oauth_gpt_image_2,generic_named
paul_cezanne,generated,format_counts,PNG,70,oauth_gpt_image_2,generic_named
paul_cezanne,generated,source_proxy_counts,route:oauth_gpt_image_2,70,oauth_gpt_image_2,generic_named
paul_cezanne,generated,square_counts,0,69,oauth_gpt_image_2,generic_named
paul_cezanne,generated,square_counts,1,1,oauth_gpt_image_2,generic_named
paul_cezanne,generated,border_counts,unknown,72,oauth_gpt_image_2,named
paul_cezanne,generated,capture_workflow_counts,not_applicable_generated,72,oauth_gpt_image_2,named
paul_cezanne,generated,color_profile_counts,missing_assumed_srgb,72,oauth_gpt_image_2,named
paul_cezanne,generated,format_counts,PNG,72,oauth_gpt_image_2,named
paul_cezanne,generated,source_proxy_counts,route:oauth_gpt_image_2,72,oauth_gpt_image_2,named
paul_cezanne,generated,square_counts,0,69,oauth_gpt_image_2,named
paul_cezanne,generated,square_counts,1,3,oauth_gpt_image_2,named
