pipeline,metric_view,route,condition,cross_twice,energy,generated_within,interpretation,mismatched_pairs.n,reference_within,status,unverified_pairs.n,verified_payload_pairs.n
primary512,original31,nano_banana_2,artist_free,13.35373775966899,0.07934269234657076,6.768043044867678,"post-result collection-label diagnostic, not an equivalence test",0,6.506352022454741,descriptive,0,72
primary512,original31,oauth_gpt_image_2,artist_free,11.191122288520303,0.07715230454958277,5.333217966151481,"post-result collection-label diagnostic, not an equivalence test",0,5.780752017819239,descriptive,0,72
primary512,nonredundant28,flux_2_max,artist_free,11.743967819023133,0.10020289092620427,5.557944406086967,"post-result collection-label diagnostic, not an equivalence test",0,6.085820522009962,descriptive,0,72
primary512,nonredundant28,nano_banana_2,artist_free,12.998073470502533,0.07742159021874784,6.592225825872697,"post-result collection-label diagnostic, not an equivalence test",0,6.3284260544110875,descriptive,0,72
primary512,nonredundant28,oauth_gpt_image_2,artist_free,10.880654265985312,0.07633231632324033,5.170451429813211,"post-result collection-label diagnostic, not an equivalence test",0,5.633870519848861,descriptive,0,72
primary512,family_balanced31,flux_2_max,artist_free,4.007500378817775,0.03300216655360577,1.896076599215863,"post-result collection-label diagnostic, not an equivalence test",0,2.078421613048306,descriptive,0,72
primary512,family_balanced31,nano_banana_2,artist_free,4.324793948808987,0.0256506264111378,2.192102052665976,"post-result collection-label diagnostic, not an equivalence test",0,2.107041269731873,descriptive,0,72
primary512,family_balanced31,oauth_gpt_image_2,artist_free,3.6530712696123935,0.025892585194018825,1.727147969879597,"post-result collection-label diagnostic, not an equivalence test",0,1.9000307145387776,descriptive,0,72
primary512,no_texture19,flux_2_max,artist_free,10.737085340534266,0.08364647784837587,5.098427340777464,"post-result collection-label diagnostic, not an equivalence test",0,5.555011521908426,descriptive,0,72
primary512,no_texture19,nano_banana_2,artist_free,11.030641497256626,0.0630269326126216,5.598915095853995,"post-result collection-label diagnostic, not an equivalence test",0,5.36869946879001,descriptive,0,72
primary512,no_texture19,oauth_gpt_image_2,artist_free,9.568701643173213,0.0711682191878964,4.484388380877814,"post-result collection-label diagnostic, not an equivalence test",0,5.013145043107503,descriptive,0,72
resolution256,original31,flux_2_max,artist_free,11.704131470335719,0.09095241916036478,5.712182391716425,"post-result collection-label diagnostic, not an equivalence test",0,5.900996659458929,descriptive,0,72
resolution256,original31,nano_banana_2,artist_free,13.040250500534302,0.08016612484106389,6.661171355905246,"post-result collection-label diagnostic, not an equivalence test",0,6.298913019787992,descriptive,0,72
resolution256,original31,oauth_gpt_image_2,artist_free,9.598668378800003,0.05713816408087613,4.681899143407945,"post-result collection-label diagnostic, not an equivalence test",0,4.859631071311182,descriptive,0,72
resolution256,nonredundant28,flux_2_max,artist_free,11.149629544387452,0.088904103539031,5.429863551151845,"post-result collection-label diagnostic, not an equivalence test",0,5.630861889696575,descriptive,0,72
resolution256,nonredundant28,nano_banana_2,artist_free,12.563360932353605,0.07840745322168718,6.426720918032995,"post-result collection-label diagnostic, not an equivalence test",0,6.058232561098923,descriptive,0,72
resolution256,nonredundant28,oauth_gpt_image_2,artist_free,9.173409655497501,0.056197184442832615,4.4605135419050335,"post-result collection-label diagnostic, not an equivalence test",0,4.656698929149635,descriptive,0,72
resolution256,family_balanced31,flux_2_max,artist_free,3.8041049004637557,0.029149678420527625,1.85456703196963,"post-result collection-label diagnostic, not an equivalence test",0,1.9203881900735982,descriptive,0,72
resolution256,family_balanced31,nano_banana_2,artist_free,4.116812133209567,0.025739392119978888,2.1033080927738164,"post-result collection-label diagnostic, not an equivalence test",0,1.9877646483157718,descriptive,0,72
resolution256,family_balanced31,oauth_gpt_image_2,artist_free,3.043974161327817,0.01870573831153588,1.476577920871042,"post-result collection-label diagnostic, not an equivalence test",0,1.548690502145239,descriptive,0,72
resolution256,no_texture19,flux_2_max,artist_free,9.988675721578577,0.07429469954911294,4.873647384575081,"post-result collection-label diagnostic, not an equivalence test",0,5.040733637454383,descriptive,0,72
resolution256,no_texture19,nano_banana_2,artist_free,9.68532934122521,0.059185173164015836,4.940036797025895,"post-result collection-label diagnostic, not an equivalence test",0,4.686107371035298,descriptive,0,72
resolution256,no_texture19,oauth_gpt_image_2,artist_free,7.677580533868262,0.050954557716863746,3.7047246427333818,"post-result collection-label diagnostic, not an equivalence test",0,3.921901333418017,descriptive,0,72
