painter_id,domain,descriptor,maximum,median,minimum,n_available,quantile05,quantile95,route,condition
claude_monet,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,nano_banana_2,named
claude_monet,generated,parent_surrogate_short_side,,,,0,,,nano_banana_2,named
claude_monet,generated,square,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,named
claude_monet,generated,absolute_log_aspect_ratio,0.2853795155975006,0.22278698151189374,0.0,72,0.1143765675021603,0.22903563176198183,oauth_gpt_image_2,artist_free
claude_monet,generated,aspect_ratio,1.2584973166368516,1.249554367201426,0.7517289073305671,72,0.7968327402135231,1.255585344057194,oauth_gpt_image_2,artist_free
claude_monet,generated,border_flag,,,,0,,,oauth_gpt_image_2,artist_free
claude_monet,generated,delivered_short_side,1254.0,1122.0,1087.0,72,1118.55,1184.25,oauth_gpt_image_2,artist_free
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,artist_free
claude_monet,generated,log_delivered_pixel_count,14.268876546056987,14.268523153677178,14.267607311840093,72,14.267854766116628,14.268876546056987,oauth_gpt_image_2,artist_free
claude_monet,generated,parent_surrogate_short_side,,,,0,,,oauth_gpt_image_2,artist_free
claude_monet,generated,square,1.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,artist_free
claude_monet,generated,absolute_log_aspect_ratio,0.24739580985281354,0.22278698151189374,0.0,72,0.1587446230729131,0.2263170190285566,oauth_gpt_image_2,generic_named
claude_monet,generated,aspect_ratio,1.2806859205776173,1.249554367201426,0.8002853067047075,72,0.9461480927449514,1.2539732142857143,oauth_gpt_image_2,generic_named
claude_monet,generated,border_flag,,,,0,,,oauth_gpt_image_2,generic_named
claude_monet,generated,delivered_short_side,1254.0,1122.0,1108.0,72,1120.0,1158.45,oauth_gpt_image_2,generic_named
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,generic_named
claude_monet,generated,log_delivered_pixel_count,14.26890768436222,14.268523153677178,14.267954667266434,72,14.267986470341793,14.26870050107545,oauth_gpt_image_2,generic_named
claude_monet,generated,parent_surrogate_short_side,,,,0,,,oauth_gpt_image_2,generic_named
claude_monet,generated,square,1.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,generic_named
claude_monet,generated,absolute_log_aspect_ratio,0.2853795155975005,0.22278698151189374,0.0,72,0.17229202806413185,0.2313633379004804,oauth_gpt_image_2,named
claude_monet,generated,aspect_ratio,1.3302667893284268,1.249554367201426,0.7990021382751248,72,0.8002853067047075,1.260318685440591,oauth_gpt_image_2,named
claude_monet,generated,border_flag,,,,0,,,oauth_gpt_image_2,named
claude_monet,generated,delivered_short_side,1254.0,1122.0,1087.0,72,1117.1,1150.65,oauth_gpt_image_2,named
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,named
claude_monet,generated,log_delivered_pixel_count,14.26890768436222,14.268469752600751,14.267733289839919,72,14.268067624511968,14.268876546056987,oauth_gpt_image_2,named
claude_monet,generated,parent_surrogate_short_side,,,,0,,,oauth_gpt_image_2,named
claude_monet,generated,square,1.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,named
paul_cezanne,original,absolute_log_aspect_ratio,0.6443570163905132,0.23823271701618381,0.14202387502922245,32,0.15965621620596349,0.44393509880400456,,
paul_cezanne,original,aspect_ratio,1.9047619047619047,1.2471614570807248,0.7253494522100491,32,0.7710988370054723,1.5603014574165466,,
paul_cezanne,original,border_flag,1.0,0.0,0.0,32,0.0,0.0,,
paul_cezanne,original,delivered_short_side,1920.0,1169.0,587.0,32,675.85,1920.0,,
paul_cezanne,original,embedded_profile,1.0,0.0,0.0,32,0.0,1.0,,
paul_cezanne,original,log_delivered_pixel_count,15.441262667248928,14.292292355332599,13.241958104289978,32,13.44298590033357,15.339870458377218,,
paul_cezanne,original,parent_surrogate_short_side,3933.0,1299.5,717.0,32,800.6,3038.2,,
paul_cezanne,original,square,0.0,0.0,0.0,32,0.0,0.0,,
paul_cezanne,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,artist_free
paul_cezanne,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,artist_free
paul_cezanne,generated,border_flag,,,,0,,,flux_2_max,artist_free
paul_cezanne,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,flux_2_max,artist_free
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,artist_free
paul_cezanne,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,flux_2_max,artist_free
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,flux_2_max,artist_free
paul_cezanne,generated,square,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,artist_free
paul_cezanne,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,named
paul_cezanne,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,named
paul_cezanne,generated,border_flag,,,,0,,,flux_2_max,named
paul_cezanne,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,flux_2_max,named
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,named
paul_cezanne,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,flux_2_max,named
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,flux_2_max,named
paul_cezanne,generated,square,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,named
paul_cezanne,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,artist_free
paul_cezanne,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,artist_free
paul_cezanne,generated,border_flag,,,,0,,,nano_banana_2,artist_free
paul_cezanne,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,nano_banana_2,artist_free
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,artist_free
paul_cezanne,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,nano_banana_2,artist_free
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,nano_banana_2,artist_free
paul_cezanne,generated,square,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,artist_free
paul_cezanne,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,named
paul_cezanne,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,named
paul_cezanne,generated,border_flag,,,,0,,,nano_banana_2,named
paul_cezanne,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,nano_banana_2,named
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,named
paul_cezanne,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,nano_banana_2,named
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,nano_banana_2,named
paul_cezanne,generated,square,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,named
paul_cezanne,generated,absolute_log_aspect_ratio,0.23152373764878698,0.22278698151189374,0.0,72,0.11525545592355674,0.22760187345592098,oauth_gpt_image_2,artist_free
paul_cezanne,generated,aspect_ratio,1.256478999106345,1.249554367201426,0.7933238636363636,72,0.8002853067047075,1.2549687619685945,oauth_gpt_image_2,artist_free
paul_cezanne,generated,border_flag,,,,0,,,oauth_gpt_image_2,artist_free
paul_cezanne,generated,delivered_short_side,1254.0,1122.0,1117.0,72,1119.0,1183.7,oauth_gpt_image_2,artist_free
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,artist_free
paul_cezanne,generated,log_delivered_pixel_count,14.268876546056987,14.268523153677178,14.267802634592474,72,14.267993435038187,14.268876546056987,oauth_gpt_image_2,artist_free
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,oauth_gpt_image_2,artist_free
paul_cezanne,generated,square,1.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,artist_free
paul_cezanne,generated,absolute_log_aspect_ratio,0.23312936895742403,0.22278698151189374,0.0,70,0.09862821685534591,0.22887596492480397,oauth_gpt_image_2,generic_named
paul_cezanne,generated,aspect_ratio,1.2625448028673836,1.2485527846692794,0.7945984363894811,70,0.840463235420277,1.2550808678028853,oauth_gpt_image_2,generic_named
paul_cezanne,generated,border_flag,,,,0,,,oauth_gpt_image_2,generic_named
paul_cezanne,generated,delivered_short_side,1254.0,1122.0,1116.0,70,1118.45,1193.85,oauth_gpt_image_2,generic_named
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,70,0.0,0.0,oauth_gpt_image_2,generic_named
paul_cezanne,generated,log_delivered_pixel_count,14.269106565355475,14.268517432253304,14.267983290079771,70,14.268028829370849,14.268876546056987,oauth_gpt_image_2,generic_named
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,oauth_gpt_image_2,generic_named
paul_cezanne,generated,square,1.0,0.0,0.0,70,0.0,0.0,oauth_gpt_image_2,generic_named
paul_cezanne,generated,absolute_log_aspect_ratio,0.22991840339934466,0.2219847865552288,0.0,72,0.12511320662281786,0.22792204422716478,oauth_gpt_image_2,named
paul_cezanne,generated,aspect_ratio,1.2584973166368516,1.2446619217081851,0.7990021382751248,72,0.8002853067047075,1.2559874888293119,oauth_gpt_image_2,named
paul_cezanne,generated,border_flag,,,,0,,,oauth_gpt_image_2,named
paul_cezanne,generated,delivered_short_side,1254.0,1122.5,1118.0,72,1119.0,1178.0,oauth_gpt_image_2,named
paul_cezanne,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,named
paul_cezanne,generated,log_delivered_pixel_count,14.268876546056987,14.268469752600751,14.267607311840093,72,14.268067624511968,14.268876546056987,oauth_gpt_image_2,named
paul_cezanne,generated,parent_surrogate_short_side,,,,0,,,oauth_gpt_image_2,named
paul_cezanne,generated,square,1.0,0.0,0.0,72,0.0,0.0,oauth_gpt_image_2,named
