after_image_ids,before_image_ids,brief_id,cell_id,content_class,cross_repeat_displacement_products,detailed_prompt_scene,painter_id,repetitions,route,squared_mean_displacement
"[""generated:slot0940"",""generated:slot0375"",""generated:slot0673""]","[""generated:slot0939"",""generated:slot0374"",""generated:slot0672""]",land08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":-10.635743675722544},{""repetitions"":[0,2],""product"":6.82853554057947},{""repetitions"":[1,2],""product"":2.195454359977738}]","An uneven rocky hillside with scattered trees and patches of open ground rises toward low distant ridges. Exposed rock and vegetation organize the scene, with no large water surface or dominant building.",claude_monet,"[0,1,2]",nano_banana_2,9.508432245564709
"[""generated:slot0089"",""generated:slot0410"",""generated:slot0876""]","[""generated:slot0088"",""generated:slot0409"",""generated:slot0875""]",water01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":-2.2348138120207324},{""repetitions"":[0,2],""product"":9.632257075109203},{""repetitions"":[1,2],""product"":5.919977374450233}]","A pond viewed from close to its edge, with groups of floating lily pads, gaps of open water and reflections of surrounding trees. The water fills the scene; no horizon or prominent person is visible.",claude_monet,"[0,1,2]",nano_banana_2,10.086499724132786
"[""generated:slot0146"",""generated:slot0605"",""generated:slot0985""]","[""generated:slot0147"",""generated:slot0604"",""generated:slot0986""]",water02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":-7.744704261781804},{""repetitions"":[0,2],""product"":9.665185084978713},{""repetitions"":[1,2],""product"":5.370913540002869}]","A quiet pond below overhanging trees, with the opposite bank in the middle distance and broken reflections across the foreground water. Vegetation encloses the scene and a small opening leads deeper into the garden.",claude_monet,"[0,1,2]",nano_banana_2,8.753689500349479
"[""generated:slot0323"",""generated:slot0747"",""generated:slot0000""]","[""generated:slot0322"",""generated:slot0748"",""generated:slot0001""]",water03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":4.054037218426692},{""repetitions"":[0,2],""product"":11.021856159839231},{""repetitions"":[1,2],""product"":4.001650581145351}]","A river bending between wooded banks, seen from near one bank. A broad reflective water surface leads from the foreground toward a distant opening, while trees partly overhang one side.",claude_monet,"[0,1,2]",nano_banana_2,10.696852621102552
"[""generated:slot0472"",""generated:slot0828"",""generated:slot0165""]","[""generated:slot0471"",""generated:slot0829"",""generated:slot0164""]",water04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":-0.9493081252662132},{""repetitions"":[0,2],""product"":12.07032849677684},{""repetitions"":[1,2],""product"":13.142847860308262}]","A small house among trees on the opposite bank of a river, with its reflection and tree reflections occupying much of the foreground. The view is enclosed by vegetation on both sides; no figure dominates.",claude_monet,"[0,1,2]",nano_banana_2,13.805524340831447
"[""generated:slot0555"",""generated:slot0910"",""generated:slot0320""]","[""generated:slot0556"",""generated:slot0911"",""generated:slot0321""]",water05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":2.4416738166772705},{""repetitions"":[0,2],""product"":23.23214851956701},{""repetitions"":[1,2],""product"":1.4417221748978257}]","A broad river beside a small village, viewed across open water. Low houses and a row of trees line the far bank, with a few irregular patches of vegetation on the near shore and distant hills beyond.",claude_monet,"[0,1,2]",nano_banana_2,14.431871628426652
"[""generated:slot0716"",""generated:slot0011"",""generated:slot0461""]","[""generated:slot0717"",""generated:slot0010"",""generated:slot0462""]",water06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":11.055766817051087},{""repetitions"":[0,2],""product"":-3.1586611492353645},{""repetitions"":[1,2],""product"":7.821234447803368}]","An open sea below a long coastal cliff, seen from near the shore. Water occupies most of the lower scene, the cliff recedes toward the distance, and an open sky lies above the distant horizon.",claude_monet,"[0,1,2]",nano_banana_2,10.738972260058485
"[""generated:slot0806"",""generated:slot0187"",""generated:slot0577""]","[""generated:slot0807"",""generated:slot0186"",""generated:slot0578""]",water07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":8.369810271378704},{""repetitions"":[0,2],""product"":7.314178146688981},{""repetitions"":[1,2],""product"":14.982955565673162}]","A coastal village seen from a slope above the sea. A few roofs and garden plants occupy the near slope, while a substantial water surface extends behind them toward low distant headlands and an open horizon.",claude_monet,"[0,1,2]",nano_banana_2,16.573139151711022
"[""generated:slot0933"",""generated:slot0290"",""generated:slot0660""]","[""generated:slot0934"",""generated:slot0291"",""generated:slot0661""]",water08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":21.84920487604282},{""repetitions"":[0,2],""product"":55.23093030998897},{""repetitions"":[1,2],""product"":30.315027885494796}]","A broad river under a hazy sky, with reflected light extending across the foreground water. Low tree-lined banks and a few small distant structures sit near the horizon without a prominent foreground figure.",claude_monet,"[0,1,2]",nano_banana_2,40.20793215644625
"[""generated:slot0118"",""generated:slot0434"",""generated:slot0759""]","[""generated:slot0117"",""generated:slot0433"",""generated:slot0758""]",built01,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":5.606405497729488},{""repetitions"":[0,2],""product"":8.069394510889115},{""repetitions"":[1,2],""product"":4.523299936602512}]","Several cottages beside a rough country road on a low hillside. The road curves from the near foreground between the houses toward the middle distance, with scattered trees and open ground around the buildings.",paul_cezanne,"[0,1,2]",nano_banana_2,7.2268823027597735
"[""generated:slot0223"",""generated:slot0564"",""generated:slot0885""]","[""generated:slot0224"",""generated:slot0565"",""generated:slot0884""]",built02,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":12.382651252918016},{""repetitions"":[0,2],""product"":5.636307455167059},{""repetitions"":[1,2],""product"":4.526763353610425}]","A small house viewed through several garden trees. The house is the central subject in the middle distance, with trunks partly crossing its facade and a short stretch of open ground in front.",paul_cezanne,"[0,1,2]",nano_banana_2,10.65763787787858
"[""generated:slot0286"",""generated:slot0667"",""generated:slot0006""]","[""generated:slot0287"",""generated:slot0668"",""generated:slot0007""]",built03,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":9.673413007632783},{""repetitions"":[0,2],""product"":8.805045480624504},{""repetitions"":[1,2],""product"":5.982377299766192}]","An isolated farmhouse with attached low buildings stands beyond a broad open foreground. A few trees border the building group, and gently cultivated hills rise behind it under an open sky.",paul_cezanne,"[0,1,2]",nano_banana_2,9.28544796290352
"[""generated:slot0400"",""generated:slot0833"",""generated:slot0177""]","[""generated:slot0401"",""generated:slot0832"",""generated:slot0176""]",built04,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":3.955455412924541},{""repetitions"":[0,2],""product"":8.209067691137918},{""repetitions"":[1,2],""product"":4.33631570248717}]","Closely spaced houses occupy a steep village slope. A narrow path passes between walls and roofs from the foreground toward an elevated opening, with sparse trees and glimpses of the surrounding countryside.",paul_cezanne,"[0,1,2]",nano_banana_2,7.26887210621295
"[""generated:slot0586"",""generated:slot0973"",""generated:slot0332""]","[""generated:slot0587"",""generated:slot0974"",""generated:slot0331""]",built05,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":7.6914776202828},{""repetitions"":[0,2],""product"":15.501633477512577},{""repetitions"":[1,2],""product"":8.913422962930142}]","A straight avenue recedes between two rows of tall trees toward a small house in the distance. Tree trunks frame the route on both sides, while the ground and gaps between the trees establish the perspective.",paul_cezanne,"[0,1,2]",nano_banana_2,13.650529210527914
"[""generated:slot0641"",""generated:slot0040"",""generated:slot0435""]","[""generated:slot0642"",""generated:slot0041"",""generated:slot0436""]",built06,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":58.509827465306955},{""repetitions"":[0,2],""product"":33.572827191622906},{""repetitions"":[1,2],""product"":33.81201830897371}]","The near wall and roof of a house occupy one side of a garden view. A narrow route follows the wall past shrubs and a tree toward a small opening, with the building remaining the principal subject.",paul_cezanne,"[0,1,2]",nano_banana_2,48.710181383750076
"[""generated:slot0782"",""generated:slot0240"",""generated:slot0552""]","[""generated:slot0783"",""generated:slot0241"",""generated:slot0551""]",built07,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":20.664250542236957},{""repetitions"":[0,2],""product"":9.15169420132833},{""repetitions"":[1,2],""product"":6.313240125905619}]","A village viewed from an elevated position, with overlapping roofs and house walls filling the near and middle distance. A bare tree interrupts part of the view, and low hills remain visible beyond the buildings.",paul_cezanne,"[0,1,2]",nano_banana_2,14.325467171870935
"[""generated:slot0928"",""generated:slot0369"",""generated:slot0678""]","[""generated:slot0927"",""generated:slot0370"",""generated:slot0677""]",built08,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":0.7418935229707161},{""repetitions"":[0,2],""product"":2.3373457304762226},{""repetitions"":[1,2],""product"":7.093463576012124}]","Two small detached houses stand in a broad open field. Their walls and pitched roofs organize the middle of the scene, with a rough foreground route, a few trees at the edges and low hills on the horizon.",paul_cezanne,"[0,1,2]",nano_banana_2,6.189377325058992
"[""generated:slot0111"",""generated:slot0383"",""generated:slot0818""]","[""generated:slot0112"",""generated:slot0384"",""generated:slot0817""]",land01,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":24.90115192332269},{""repetitions"":[0,2],""product"":14.48756650242012},{""repetitions"":[1,2],""product"":9.433209675317396}]","A large branching tree trunk is seen at close range in a garden. Hanging leaves and smaller branches enclose the scene, while low plants and uneven ground surround the base of the trunk.",paul_cezanne,"[0,1,2]",nano_banana_2,18.29224963462706
"[""generated:slot0220"",""generated:slot0582"",""generated:slot0971""]","[""generated:slot0219"",""generated:slot0583"",""generated:slot0972""]",land02,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":9.36480200518447},{""repetitions"":[0,2],""product"":8.588488619584322},{""repetitions"":[1,2],""product"":9.822655116268493}]","Many slender tree trunks rise through a dense woodland interior on gently sloping ground. Undergrowth fills the foreground, with a narrow opening between the trunks and little unobstructed sky.",paul_cezanne,"[0,1,2]",nano_banana_2,10.943798030960815
"[""generated:slot0284"",""generated:slot0649"",""generated:slot0018""]","[""generated:slot0285"",""generated:slot0650"",""generated:slot0017""]",land03,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":8.980866810427123},{""repetitions"":[0,2],""product"":23.614490177043606},{""repetitions"":[1,2],""product"":10.399554387807928}]","Several pine trees grow among exposed rocks on uneven woodland ground. Trunks cross the near view, pale rock faces appear between them and dense branches partly enclose the middle distance.",paul_cezanne,"[0,1,2]",nano_banana_2,20.36291097740956
"[""generated:slot0387"",""generated:slot0774"",""generated:slot0225""]","[""generated:slot0388"",""generated:slot0775"",""generated:slot0226""]",land04,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":-4.317128748325636},{""repetitions"":[0,2],""product"":-3.494538571742063},{""repetitions"":[1,2],""product"":8.43759945487997}]","An orchard with leaning trunks surrounds a grassy clearing. Branches overlap above the near ground, while an opening between the trees leads toward the middle distance without a dominant building or person.",paul_cezanne,"[0,1,2]",nano_banana_2,3.277837460088702
"[""generated:slot0537"",""generated:slot0957"",""generated:slot0253""]","[""generated:slot0538"",""generated:slot0958"",""generated:slot0252""]",land05,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":29.423379602826298},{""repetitions"":[0,2],""product"":4.928974153911534},{""repetitions"":[1,2],""product"":4.992935907981677}]","A broad meadow occupies the foreground before an irregular line of tall trees. A few low plants break up the near ground, and gaps between the trees reveal distant hills beneath an open sky.",paul_cezanne,"[0,1,2]",nano_banana_2,26.711385860025075
"[""generated:slot0651"",""generated:slot0125"",""generated:slot0498""]","[""generated:slot0652"",""generated:slot0124"",""generated:slot0499""]",land06,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":64.4811213400841},{""repetitions"":[0,2],""product"":-1.397094289346378},{""repetitions"":[1,2],""product"":-2.619363496486458}]","Cultivated fields spread across a valley toward distant hills. A few small houses and scattered trees sit in the middle distance, remaining secondary to the open ground and the broad shape of the landscape.",paul_cezanne,"[0,1,2]",nano_banana_2,31.666272563306702
"[""generated:slot0854"",""generated:slot0236"",""generated:slot0625""]","[""generated:slot0855"",""generated:slot0237"",""generated:slot0626""]",land07,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":11.152470238174006},{""repetitions"":[0,2],""product"":15.553529324107862},{""repetitions"":[1,2],""product"":20.008733611989722}]","A prominent mountain rises beyond a foreground clearing and several tall trees. The trees partly frame the distant peak, with lower wooded slopes connecting the near ground to the mountain under an open sky.",paul_cezanne,"[0,1,2]",nano_banana_2,17.737855158109614
"[""generated:slot0969"",""generated:slot0366"",""generated:slot0654""]","[""generated:slot0970"",""generated:slot0365"",""generated:slot0653""]",land08,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":3.7732187851614167},{""repetitions"":[0,2],""product"":-2.2556592158975435},{""repetitions"":[1,2],""product"":1.2001975484676344}]","An uneven rocky hillside with scattered trees and patches of open ground rises toward low distant ridges. Exposed rock and vegetation organize the scene, with no large water surface or dominant building.",paul_cezanne,"[0,1,2]",nano_banana_2,5.435571862580707
"[""generated:slot0002"",""generated:slot0422"",""generated:slot0798""]","[""generated:slot0003"",""generated:slot0423"",""generated:slot0799""]",water01,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":11.494498250126252},{""repetitions"":[0,2],""product"":9.87687245242665},{""repetitions"":[1,2],""product"":17.928899745869103}]","A pond viewed from close to its edge, with groups of floating lily pads, gaps of open water and reflections of surrounding trees. The water fills the scene; no horizon or prominent person is visible.",paul_cezanne,"[0,1,2]",nano_banana_2,15.689744931047384
"[""generated:slot0210"",""generated:slot0504"",""generated:slot1006""]","[""generated:slot0211"",""generated:slot0505"",""generated:slot1007""]",water02,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":13.780360950938626},{""repetitions"":[0,2],""product"":-5.398400383156069},{""repetitions"":[1,2],""product"":6.064790762571187}]","A quiet pond below overhanging trees, with the opposite bank in the middle distance and broken reflections across the foreground water. Vegetation encloses the scene and a small opening leads deeper into the garden.",paul_cezanne,"[0,1,2]",nano_banana_2,9.81488397652407
"[""generated:slot0267"",""generated:slot0740"",""generated:slot0072""]","[""generated:slot0266"",""generated:slot0741"",""generated:slot0071""]",water03,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":0.98107909730389},{""repetitions"":[0,2],""product"":2.175492276752065},{""repetitions"":[1,2],""product"":12.113863182832056}]","A river bending between wooded banks, seen from near one bank. A broad reflective water surface leads from the foreground toward a distant opening, while trees partly overhang one side.",paul_cezanne,"[0,1,2]",nano_banana_2,8.741676344334028
"[""generated:slot0451"",""generated:slot0786"",""generated:slot0207""]","[""generated:slot0450"",""generated:slot0787"",""generated:slot0206""]",water04,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":21.756398660265912},{""repetitions"":[0,2],""product"":19.41193940424133},{""repetitions"":[1,2],""product"":17.74563426138061}]","A small house among trees on the opposite bank of a river, with its reflection and tree reflections occupying much of the foreground. The view is enclosed by vegetation on both sides; no figure dominates.",paul_cezanne,"[0,1,2]",nano_banana_2,22.57488655571488
"[""generated:slot0590"",""generated:slot0979"",""generated:slot0254""]","[""generated:slot0591"",""generated:slot0978"",""generated:slot0255""]",water05,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":1.2770516614057432},{""repetitions"":[0,2],""product"":12.00237675705308},{""repetitions"":[1,2],""product"":26.823126310950265}]","A broad river beside a small village, viewed across open water. Low houses and a row of trees line the far bank, with a few irregular patches of vegetation on the near shore and distant hills beyond.",paul_cezanne,"[0,1,2]",nano_banana_2,21.340884136348183
"[""generated:slot0721"",""generated:slot0052"",""generated:slot0394""]","[""generated:slot0720"",""generated:slot0053"",""generated:slot0395""]",water06,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":23.205545693950615},{""repetitions"":[0,2],""product"":17.465107864783214},{""repetitions"":[1,2],""product"":26.568796119190367}]","An open sea below a long coastal cliff, seen from near the shore. Water occupies most of the lower scene, the cliff recedes toward the distance, and an open sky lies above the distant horizon.",paul_cezanne,"[0,1,2]",nano_banana_2,26.125771998974713
"[""generated:slot0808"",""generated:slot0141"",""generated:slot0531""]","[""generated:slot0809"",""generated:slot0142"",""generated:slot0530""]",water07,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":9.488651583421682},{""repetitions"":[0,2],""product"":17.43628777273991},{""repetitions"":[1,2],""product"":13.493223095774468}]","A coastal village seen from a slope above the sea. A few roofs and garden plants occupy the near slope, while a substantial water surface extends behind them toward low distant headlands and an open horizon.",paul_cezanne,"[0,1,2]",nano_banana_2,14.851402268627627
"[""generated:slot0993"",""generated:slot0298"",""generated:slot0726""]","[""generated:slot0994"",""generated:slot0297"",""generated:slot0727""]",water08,primary512:nano_banana_2:paul_cezanne:named_minus_artist_free,water,"[{""repetitions"":[0,1],""product"":26.121700528638577},{""repetitions"":[0,2],""product"":40.1434131022058},{""repetitions"":[1,2],""product"":69.44777836658574}]","A broad river under a hazy sky, with reflected light extending across the foreground water. Low tree-lined banks and a few small distant structures sit near the horizon without a prominent foreground figure.",paul_cezanne,"[0,1,2]",nano_banana_2,55.9223610472737
"[""generated:slot0115"",""generated:slot0396"",""generated:slot0813""]","[""generated:slot0116"",""generated:slot0397"",""generated:slot0812""]",built01,primary512:flux_2_max:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":6.792918530964508},{""repetitions"":[0,2],""product"":6.2153474020440775},{""repetitions"":[1,2],""product"":11.099106825821389}]","Several cottages beside a rough country road on a low hillside. The road curves from the near foreground between the houses toward the middle distance, with scattered trees and open ground around the buildings.",claude_monet,"[0,1,2]",flux_2_max,9.85978463927276
"[""generated:slot0189"",""generated:slot0610"",""generated:slot0883""]","[""generated:slot0188"",""generated:slot0611"",""generated:slot0882""]",built02,primary512:flux_2_max:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":7.867702085779211},{""repetitions"":[0,2],""product"":6.918332613289365},{""repetitions"":[1,2],""product"":8.189605883315748}]","A small house viewed through several garden trees. The house is the central subject in the middle distance, with trunks partly crossing its facade and a short stretch of open ground in front.",claude_monet,"[0,1,2]",flux_2_max,9.058979677417502
