endpoint_index,estimate,excluded_kind,excluded_value,pairs,status
1,-1.8287316604229225,brief_id,water07,69,descriptive
1,-1.8238361651582313,brief_id,water08,69,descriptive
1,-1.859539641592222,brief_id,built01,69,descriptive
1,-1.7740761273793733,brief_id,built02,69,descriptive
1,-2.072159979224813,brief_id,built03,69,descriptive
1,-1.8067534153676452,brief_id,built04,69,descriptive
1,-1.7960220552836603,brief_id,built05,69,descriptive
1,-1.6097621962411102,brief_id,built06,69,descriptive
1,-1.7667745819509173,brief_id,built07,69,descriptive
1,-1.8758712181236517,brief_id,built08,69,descriptive
1,-1.6359612500818586,brief_id,land01,69,descriptive
1,-1.7282071232572467,brief_id,land02,69,descriptive
1,-1.6843225530566939,brief_id,land03,69,descriptive
1,-1.8289633747574285,brief_id,land04,69,descriptive
1,-2.089393957125782,brief_id,land05,69,descriptive
1,-1.9445579944875238,brief_id,land06,69,descriptive
1,-1.8210937232565378,brief_id,land07,69,descriptive
1,-1.9004007806842782,brief_id,land08,69,descriptive
2,-0.5889067763549024,window,0,63,descriptive
2,-0.749642458501358,window,1,63,descriptive
2,-0.6530880106237976,window,2,63,descriptive
2,-0.602305321522471,window,3,63,descriptive
2,-0.7091573699831105,window,4,63,descriptive
2,-0.4258075238591512,window,5,63,descriptive
2,-0.7298828345735205,window,6,63,descriptive
2,-0.5956992818638864,window,7,63,descriptive
2,-0.6130322490586345,brief_id,water01,69,descriptive
2,-0.7055021311347682,brief_id,water02,69,descriptive
2,-0.647872721240334,brief_id,water03,69,descriptive
2,-0.7307061033786375,brief_id,water04,69,descriptive
2,-0.6352708231161929,brief_id,water05,69,descriptive
2,-0.4766772604038418,brief_id,water06,69,descriptive
2,-0.7307506593411479,brief_id,water07,69,descriptive
2,-0.5222979800368408,brief_id,water08,69,descriptive
2,-0.6220689027580272,brief_id,built01,69,descriptive
2,-0.6346121957572554,brief_id,built02,69,descriptive
2,-0.6254138742538711,brief_id,built03,69,descriptive
2,-0.6215725548500985,brief_id,built04,69,descriptive
2,-0.6275770848357647,brief_id,built05,69,descriptive
2,-0.6364176548278827,brief_id,built06,69,descriptive
2,-0.6026733457159996,brief_id,built07,69,descriptive
2,-0.6276120249749415,brief_id,built08,69,descriptive
2,-0.6697165902276988,brief_id,land01,69,descriptive
2,-0.5692387360734114,brief_id,land02,69,descriptive
2,-0.6296101252098437,brief_id,land03,69,descriptive
2,-0.6959129324809915,brief_id,land04,69,descriptive
2,-0.7071045159279915,brief_id,land05,69,descriptive
2,-0.47689483244180497,brief_id,land06,69,descriptive
2,-0.6773318562947389,brief_id,land07,69,descriptive
2,-0.6202642794159698,brief_id,land08,69,descriptive
3,-0.8885836294492981,window,0,63,descriptive
3,-0.891085532525741,window,1,63,descriptive
3,-0.911441792568143,window,2,63,descriptive
3,-0.871285820414129,window,3,63,descriptive
3,-0.9217048309349241,window,4,63,descriptive
3,-0.9444373697057884,window,5,63,descriptive
3,-0.8660933558914382,window,6,63,descriptive
3,-0.901377527892891,window,7,63,descriptive
3,-0.8956093632019392,brief_id,water01,69,descriptive
3,-0.8927573015693362,brief_id,water02,69,descriptive
3,-0.8916840571114516,brief_id,water03,69,descriptive
3,-0.9004911152363011,brief_id,water04,69,descriptive
3,-0.8946544086798375,brief_id,water05,69,descriptive
3,-0.8911373659642559,brief_id,water06,69,descriptive
3,-0.9066685970138924,brief_id,water07,69,descriptive
3,-0.8933438298681955,brief_id,water08,69,descriptive
3,-0.8781377999135618,brief_id,built01,69,descriptive
3,-0.9108743908927589,brief_id,built02,69,descriptive
3,-0.8914715758180201,brief_id,built03,69,descriptive
3,-0.8932841541906672,brief_id,built04,69,descriptive
3,-0.8743729643067499,brief_id,built05,69,descriptive
3,-0.9031122673281106,brief_id,built06,69,descriptive
3,-0.9189186832208736,brief_id,built07,69,descriptive
3,-0.8996556225258603,brief_id,built08,69,descriptive
3,-0.8483943237425036,brief_id,land01,69,descriptive
3,-0.8748272831452327,brief_id,land02,69,descriptive
3,-0.9296596892325157,brief_id,land03,69,descriptive
3,-0.913294945310009,brief_id,land04,69,descriptive
3,-0.931154932267748,brief_id,land05,69,descriptive
3,-0.9138362356124314,brief_id,land06,69,descriptive
3,-0.9086977869782947,brief_id,land07,69,descriptive
3,-0.9145776065786869,brief_id,land08,69,descriptive
4,-0.12137390000488867,window,0,63,descriptive
4,-0.3258417041327635,window,1,63,descriptive
4,-0.25749397221601106,window,2,63,descriptive
4,-0.20296664370799708,window,3,63,descriptive
4,-0.35256875754104594,window,4,63,descriptive
4,-0.19386197287396814,window,5,63,descriptive
4,-0.2228404652073909,window,6,63,descriptive
4,-0.23535224600408344,window,7,63,descriptive
4,-0.21909090953214594,brief_id,water01,69,descriptive
4,-0.19002989250950833,brief_id,water02,69,descriptive
4,-0.17562812933722835,brief_id,water03,69,descriptive
4,-0.3226792300497447,brief_id,water04,69,descriptive
4,-0.30877790446423437,brief_id,water05,69,descriptive
4,-0.12148701949120755,brief_id,water06,69,descriptive
4,-0.36452020990886985,brief_id,water07,69,descriptive
4,-0.24956893439011796,brief_id,water08,69,descriptive
4,-0.24525900495201886,brief_id,built01,69,descriptive
4,-0.210763383337698,brief_id,built02,69,descriptive
4,-0.25314220298455115,brief_id,built03,69,descriptive
4,-0.23569763893643708,brief_id,built04,69,descriptive
4,-0.2185406498647666,brief_id,built05,69,descriptive
4,-0.22815056443504117,brief_id,built06,69,descriptive
4,-0.2315832446464652,brief_id,built07,69,descriptive
4,-0.2486991745273736,brief_id,built08,69,descriptive
4,-0.1650012395507888,brief_id,land01,69,descriptive
4,-0.20547883463765274,brief_id,land02,69,descriptive
4,-0.19146555535415338,brief_id,land03,69,descriptive
4,-0.26208964607971674,brief_id,land04,69,descriptive
4,-0.31229286067871787,brief_id,land05,69,descriptive
4,-0.2568808156206627,brief_id,land06,69,descriptive
4,-0.2638317313806915,brief_id,land07,69,descriptive
4,-0.2323835024881729,brief_id,land08,69,descriptive
5,-0.10149536964205934,window,0,63,descriptive
5,-0.02496673159782719,window,1,63,descriptive
5,-0.09946885387484905,window,2,63,descriptive
5,0.04098161086245917,window,3,63,descriptive
5,0.0031210070273601787,window,4,63,descriptive
5,-0.17740226018526298,window,5,63,descriptive
5,-0.03431218453134869,window,6,63,descriptive
5,-0.06838032862486218,window,7,63,descriptive
5,-0.053980811455364555,brief_id,water01,69,descriptive
5,-0.036933581235856675,brief_id,water02,69,descriptive
5,-0.04748402057305179,brief_id,water03,69,descriptive
5,-0.03127727446530858,brief_id,water04,69,descriptive
5,-0.08012207963775701,brief_id,water05,69,descriptive
5,-0.06118161020856694,brief_id,water06,69,descriptive
5,-0.06731630938047198,brief_id,water07,69,descriptive
5,-0.07190332552650971,brief_id,water08,69,descriptive
5,-0.007706302786346694,brief_id,built01,69,descriptive
5,-0.01845761420296465,brief_id,built02,69,descriptive
5,-0.1660923080291981,brief_id,built03,69,descriptive
5,-0.09028995060575276,brief_id,built04,69,descriptive
5,0.061940380356698965,brief_id,built05,69,descriptive
5,-0.027138280641528706,brief_id,built06,69,descriptive
5,-0.07337054893810838,brief_id,built07,69,descriptive
5,-0.12636255828718906,brief_id,built08,69,descriptive
5,-0.0203482081065399,brief_id,land01,69,descriptive
5,0.09506042663342666,brief_id,land02,69,descriptive
5,0.052188208236726576,brief_id,land03,69,descriptive
5,0.06948035386209218,brief_id,land04,69,descriptive
5,-0.19267873217551526,brief_id,land05,69,descriptive
5,-0.25767460108786067,brief_id,land06,69,descriptive
5,-0.1507082008471107,brief_id,land07,69,descriptive
5,-0.12062432513761304,brief_id,land08,69,descriptive
6,-0.08801918519085558,window,0,63,descriptive
6,-0.06967782177696967,window,1,63,descriptive
6,-0.059880100165769,window,2,63,descriptive
6,-0.0013963553715890496,window,3,63,descriptive
6,0.042203234651810945,window,4,63,descriptive
6,-0.08828749801065473,window,5,63,descriptive
6,-0.05817011044507596,window,6,63,descriptive
6,0.03770783943785387,window,7,63,descriptive
6,-0.07140348417440222,brief_id,water01,69,descriptive
6,-0.02611038636310141,brief_id,water02,69,descriptive
6,-0.12486164526207678,brief_id,water03,69,descriptive
6,-0.022625466311106172,brief_id,water04,69,descriptive
6,0.11054694308436856,brief_id,water05,69,descriptive
6,-0.056240365562450184,brief_id,water06,69,descriptive
6,-0.015849808760867605,brief_id,water07,69,descriptive
6,-0.046875452597553824,brief_id,water08,69,descriptive
6,-0.040715364874312154,brief_id,built01,69,descriptive
6,-0.027368379350206085,brief_id,built02,69,descriptive
6,-0.04146271339070866,brief_id,built03,69,descriptive
6,-0.041210376948083216,brief_id,built04,69,descriptive
6,-0.04486795040349572,brief_id,built05,69,descriptive
6,-0.04099266437068483,brief_id,built06,69,descriptive
6,-0.03314719630301473,brief_id,built07,69,descriptive
6,-0.029349045289209338,brief_id,built08,69,descriptive
6,-0.04159115826570087,brief_id,land01,69,descriptive
6,-0.061635636390788034,brief_id,land02,69,descriptive
6,-0.055170865677462225,brief_id,land03,69,descriptive
6,-0.043053324884301754,brief_id,land04,69,descriptive
6,0.018766042514967236,brief_id,land05,69,descriptive
6,-0.03152841991226475,brief_id,land06,69,descriptive
6,-0.022746911027353014,brief_id,land07,69,descriptive
6,-0.05778264394483902,brief_id,land08,69,descriptive
7,-0.3454570220837157,window,0,62,descriptive
7,-0.28128543711206044,window,1,61,descriptive
7,-0.22446361392471975,window,2,61,descriptive
7,-0.212570745622063,window,3,61,descriptive
7,-0.22775083483502967,window,4,62,descriptive
7,-0.2570097218575586,window,5,61,descriptive
7,-0.33166568356857923,window,6,61,descriptive
7,-0.2942334906060597,window,7,61,descriptive
7,-0.26600890833062923,brief_id,water01,68,descriptive
7,-0.2772072634802337,brief_id,water02,67,descriptive
7,-0.2775370706210898,brief_id,water03,67,descriptive
7,-0.272476954118372,brief_id,water04,67,descriptive
7,-0.28312249491331803,brief_id,water05,67,descriptive
7,-0.2743740266629389,brief_id,water06,67,descriptive
7,-0.26639241599029007,brief_id,water07,67,descriptive
7,-0.2602604035370464,brief_id,water08,67,descriptive
7,-0.31543078845223205,brief_id,built01,67,descriptive
7,-0.27872723081369744,brief_id,built02,67,descriptive
7,-0.24964945845575562,brief_id,built03,67,descriptive
7,-0.29765652619253835,brief_id,built04,67,descriptive
7,-0.2573704069324766,brief_id,built05,68,descriptive
7,-0.28747158778333676,brief_id,built06,67,descriptive
7,-0.25408695882812177,brief_id,built07,67,descriptive
7,-0.23118498398956766,brief_id,built08,67,descriptive
7,-0.3492420189991613,brief_id,land01,67,descriptive
7,-0.32971394555190453,brief_id,land02,67,descriptive
7,-0.19900860114745608,brief_id,land03,67,descriptive
7,-0.24288061129072777,brief_id,land04,67,descriptive
7,-0.24478384014260143,brief_id,land05,67,descriptive
7,-0.2463368120547149,brief_id,land06,67,descriptive
7,-0.23731947080980592,brief_id,land07,67,descriptive
7,-0.32817426694352253,brief_id,land08,67,descriptive
