alias,condition,distance,family,finite_distance,generated_count,method_id,painter_id,reference_count
gpt-image-2,claude_monet,0.8584413967134195,color,0.8584413967134195,64,style_instruction,claude_monet,297
gpt-image-2,claude_monet,1.0235893715638826,spatial,1.0235893715638826,64,style_instruction,claude_monet,297
gpt-image-2,claude_monet,1.857634063975959,texture,1.857634063975959,64,style_instruction,claude_monet,297
gpt-image-2,alfred_sisley,0.7951407647818973,color,0.7951407647818973,64,style_instruction,alfred_sisley,106
gpt-image-2,alfred_sisley,0.666875113973528,spatial,0.666875113973528,64,style_instruction,alfred_sisley,106
gpt-image-2,alfred_sisley,1.4363120458929037,texture,1.4363120458929037,64,style_instruction,alfred_sisley,106
gpt-image-2,camille_pissarro,1.040401628244715,color,1.040401628244715,64,style_instruction,camille_pissarro,141
gpt-image-2,camille_pissarro,0.8961626952765205,spatial,0.8961626952765205,64,style_instruction,camille_pissarro,141
gpt-image-2,camille_pissarro,1.6312055876515055,texture,1.6312055876515055,64,style_instruction,camille_pissarro,141
gpt-image-2,paul_cezanne,0.8319554772643731,color,0.8319554772643731,64,style_instruction,paul_cezanne,105
gpt-image-2,paul_cezanne,0.7390550771242761,spatial,0.7390550771242761,64,style_instruction,paul_cezanne,105
gpt-image-2,paul_cezanne,2.2289329030682152,texture,2.2289329030682152,64,style_instruction,paul_cezanne,105
gpt-image-2,claude_monet,0.8952636009061483,color,0.8952636009061483,64,style_aspects,claude_monet,297
gpt-image-2,claude_monet,0.9604716395387869,spatial,0.9604716395387869,64,style_aspects,claude_monet,297
gpt-image-2,claude_monet,1.8318115506586814,texture,1.8318115506586814,64,style_aspects,claude_monet,297
gpt-image-2,alfred_sisley,0.8004376585915174,color,0.8004376585915174,64,style_aspects,alfred_sisley,106
gpt-image-2,alfred_sisley,0.6866485707986825,spatial,0.6866485707986825,64,style_aspects,alfred_sisley,106
gpt-image-2,alfred_sisley,1.4708727533466273,texture,1.4708727533466273,64,style_aspects,alfred_sisley,106
gpt-image-2,camille_pissarro,0.8908976013616612,color,0.8908976013616612,64,style_aspects,camille_pissarro,141
gpt-image-2,camille_pissarro,0.8946137335203452,spatial,0.8946137335203452,64,style_aspects,camille_pissarro,141
gpt-image-2,camille_pissarro,1.7308288939712373,texture,1.7308288939712373,64,style_aspects,camille_pissarro,141
gpt-image-2,paul_cezanne,0.7813665578564586,color,0.7813665578564586,64,style_aspects,paul_cezanne,105
gpt-image-2,paul_cezanne,0.6886057819877818,spatial,0.6886057819877818,64,style_aspects,paul_cezanne,105
gpt-image-2,paul_cezanne,1.936714060597992,texture,1.936714060597992,64,style_aspects,paul_cezanne,105
